"ID_REF"	"GSM1525731"	"GSM1525732"	"GSM1525733"	"GSM1525734"	"GSM1525735"	"GSM1525736"
10338001	11.93071166	11.95949088	11.8929199	11.97232111	11.92679694	11.9864297
10338002	4.238771636	4.570454371	4.688049769	4.062388732	4.468917805	4.624147328
10338003	10.37335049	10.47330349	10.39207161	10.24501478	10.3361515	10.5770966
10338004	9.297572793	9.006669681	8.970338971	9.107632657	8.955411679	9.19713289
10338005	1.965548176	1.829285148	1.870781533	1.816270362	1.864687078	1.902097054
10338006	2.233110435	2.021492947	2.082479468	2.012531514	2.004293396	2.130866394
10338007	2.305661303	2.250453185	2.321969567	2.152452462	2.26305088	2.302569372
10338008	2.646581225	2.744743477	2.761592937	2.524366015	2.647103618	2.792530099
10338009	6.094998101	6.143051847	6.458275708	5.456150797	6.164825675	6.392463438
10338010	1.969781226	1.834610396	1.89820188	1.826993098	1.882821207	1.953645891
10338011	3.97704418	4.124136639	4.29754148	3.77429104	4.126126503	4.265066853
10338012	2.09077483	1.868198956	1.942995885	1.895292161	1.931079964	2.019567827
10338013	1.828984134	1.725299697	1.812042258	1.754565434	1.767508143	1.800083592
10338014	1.914114576	1.74098395	1.818171651	1.763995661	1.795711857	1.869573542
10338015	1.886174992	1.755784389	1.829144314	1.737612463	1.781313687	1.838910976
10338016	5.34231105	5.75712861	5.981806224	5.010347235	5.615275453	5.855183051
10338017	12.65855442	12.27367793	12.18611469	12.57504081	12.32835136	12.28885225
10338018	4.787493712	5.070211023	5.265658108	4.541989839	5.009256193	5.177524945
10338019	3.519931581	3.688280677	3.804813492	3.32255474	3.578798207	3.719244579
10338020	6.097228741	6.366040509	6.662292642	5.765581937	6.282464169	6.523456861
10338021	2.200414731	1.980387832	2.114082894	2.008107501	2.046526851	2.143486763
10338022	2.172315925	1.966516374	2.052700218	1.970871324	1.969457909	2.064287304
10338023	2.462413196	2.341457941	2.480383873	2.219539897	2.408877079	2.520775268
10338024	5.068267662	5.374632517	5.57184012	4.816124665	5.375208507	5.474284361
10338025	9.025455771	8.970945791	8.89091001	8.73753159	8.877695408	9.098356467
10338026	12.98682407	12.79339264	12.80740177	12.99147454	12.86190029	12.81382016
10338027	5.16803002	5.397523182	5.75252237	4.839631337	5.336552749	5.58511831
10338028	2.953830019	2.976110331	3.108639456	2.747229293	2.961799711	3.082175179
10338029	9.675281532	9.307644044	9.259788361	9.373366852	9.305651238	9.394498728
10338030	1.971992362	1.782360456	1.857467306	1.798343996	1.83058021	1.916565156
10338031	1.816650962	1.710988014	1.80283544	1.741428095	1.745387578	1.835318688
10338032	1.974541701	1.821811395	1.861224536	1.819199905	1.803656617	1.91788472
10338033	4.804283058	5.079837656	5.279329319	4.584435111	4.983173632	5.188220284
10338034	2.495540973	2.465937631	2.568630028	2.29502386	2.479322254	2.515535759
10338035	8.90347473	8.960291707	8.915825364	8.719302007	8.81587359	9.049526784
10338036	10.06774007	9.452547149	9.454941707	9.572158198	9.408847622	9.616911524
10338037	4.270222991	4.226219382	4.321734037	4.084691677	4.198547811	4.174618599
10338038	1.918468316	1.785953195	1.842103675	1.786975364	2.003020694	1.989305566
10338039	5.714786947	6.091670571	6.401029769	5.283324617	6.061633845	6.329730027
10338040	2.962281105	2.937947724	3.166998326	2.776534774	3.013299547	3.152961334
10338041	11.28826643	10.77757885	10.67828856	10.98938769	10.80240039	10.90275158
