logFC	AveExpr	t	P.Value	adj.P.Val	B	ID	human_ensmbl	mouse_ensembl	gene_symbol
Fscn1	6.44677834641095	8.21953587813425	56.8125022569061	1.5693007715831e-10	5.57980582344088e-06	13.5100292392021	10527158	ENSG00000075618	ENSMUSG00000029581	Fscn1
Flt3	4.69866010497817	6.60621901825201	34.5030393182329	4.96513543962655e-09	1.3580027360874e-05	11.3474488698882	10535780	ENSG00000122025	ENSMUSG00000042817	Flt3
Cacnb3	4.82178834508976	7.57686251331704	33.5230338251888	6.05946885357877e-09	1.43633649705231e-05	11.1943036680526	10426611	ENSG00000167535	ENSMUSG00000003352	Cacnb3
Hmgn3	4.17966814430062	5.86638681132093	31.3381153784631	9.65290089816890e-09	1.75407653083515e-05	10.8253261361655	10595371	ENSG00000118418	ENSMUSG00000066456	Hmgn3
Sinhcaf	3.63608131062723	8.39110211391293	31.2056349084755	9.93947731869377e-09	1.75407653083515e-05	10.8016435691854	10436442	ENSG00000139146	ENSMUSG00000039985	Sinhcaf
Mmp25	5.12326928099512	8.21756762917531	31.1242245311616	1.01204018239103e-08	1.75407653083515e-05	10.7870122759228	10448278	ENSG00000008516	ENSMUSG00000023903	Mmp25
Adcy6	4.25178972723444	6.3674123276915	30.4805708912618	1.16911993206902e-08	1.75407653083515e-05	10.6691991001502	10432190	ENSG00000174233	ENSMUSG00000022994	Adcy6
Ramp3	5.31237633537669	8.22226828054477	30.4753333067397	1.17050775517543e-08	1.75407653083515e-05	10.6682246329737	10374197	ENSG00000122679	ENSMUSG00000041046	Ramp3
Sinhcaf.1	3.53854068233501	8.43845427996128	29.8654840997734	1.34577236841512e-08	1.88774820486489e-05	10.5529690908441	10549497	ENSG00000139146	ENSMUSG00000039985	Sinhcaf
Nudt17	4.5184730457662	7.20954491995506	29.0791399075561	1.61783096691039e-08	1.91745326198219e-05	10.3989485490729	10500378	ENSG00000186364	ENSMUSG00000028100	Nudt17
Gnb4	4.99124615804742	7.3392086856778	28.1620551287668	2.01802315902871e-08	2.31460746588467e-05	10.2112123955508	10497689	ENSG00000114450	ENSMUSG00000027669	Gnb4
Cd83	4.49721814811832	8.87480333433057	27.2664144141634	2.52169508876573e-08	2.35352936399187e-05	10.0189236953263	10404840	ENSG00000112149	ENSMUSG00000015396	Cd83
Strip2	5.02205116754286	6.40575121548276	27.0730751357595	2.64844713837571e-08	2.35352936399187e-05	9.97620010856786	10536949	ENSG00000128578	ENSMUSG00000039629	Strip2
Slc4a8	3.60652342693135	6.44047285913442	26.9773632646498	2.71387962435782e-08	2.35352936399187e-05	9.95488583506223	10426924	ENSG00000050438	ENSMUSG00000023032	Slc4a8
Tspan13	3.712113275301	7.84569727172104	26.3823299308427	3.16465579870452e-08	2.55732958133496e-05	9.81988622647576	10400023	ENSG00000106537	ENSMUSG00000020577	Tspan13
Samsn1	3.03300694117674	8.55788696501147	26.0427135294427	3.46004869912967e-08	2.73389981213899e-05	9.74086332076411	10440393	ENSG00000155307	ENSMUSG00000022876	Samsn1
Castor2	3.0522190310318	7.86006074204682	25.5064762104413	3.99298471286094e-08	2.81943450189848e-05	9.61306670045084	10526191	ENSG00000274070	ENSMUSG00000015944	Castor2
Il2ra	5.39054784230291	6.65439670841109	25.4172769425228	4.09045029873302e-08	2.81943450189848e-05	9.59144090545594	10469278	ENSG00000134460	ENSMUSG00000026770	Il2ra
Cblb	3.43650103899425	9.00508222197173	25.2384530574907	4.2941485030074e-08	2.81943450189848e-05	9.54776391957322	10436209	ENSG00000114423	ENSMUSG00000022637	Cblb
Tcf7	3.67371093074998	6.65529100879109	25.2016557001792	4.33748826422452e-08	2.81943450189848e-05	9.53872256223814	10385776	ENSG00000081059	ENSMUSG00000000782	Tcf7
Castor2.1	2.8894678068869	7.1637634266172	25.1816518918293	4.36125822939634e-08	2.81943450189848e-05	9.53379974873233	10526181	ENSG00000274070	ENSMUSG00000015944	Castor2
Stat4	6.42907281176889	7.35827065071071	24.6888467900642	4.99660933093865e-08	2.9124498585386e-05	9.41077713775521	10346168	ENSG00000138378	ENSMUSG00000062939	Stat4
Tmem39a	3.12919330453447	9.18701848879607	24.5486820819095	5.19619628891199e-08	2.94652074460662e-05	9.37516349598884	10435714	ENSG00000176142	ENSMUSG00000002845	Tmem39a
Sema7a	4.97271324891501	7.520502300023	24.4823011477359	5.2938869134996e-08	2.94652074460662e-05	9.35819910499646	10585778	ENSG00000138623	ENSMUSG00000038264	Sema7a
Arap2	4.10224142187376	6.63412654666472	24.3237671111256	5.53580411912569e-08	2.94652074460662e-05	9.31742659151252	10530100	ENSG00000047365	ENSMUSG00000037999	Arap2
Cd200	3.71844336938339	6.36290868586539	24.1859794715774	5.75636206355332e-08	2.94652074460662e-05	9.28169227249101	10439651	ENSG00000091972	ENSMUSG00000022661	Cd200
Strbp	3.45418851713461	7.35373702494922	23.8780538352348	6.28653291578596e-08	3.1044995049123e-05	9.20081815620988	10482181	ENSG00000165209	ENSMUSG00000026915	Strbp
Il12b	5.18775606071894	7.20343928554785	23.4136961802951	7.19507931815971e-08	3.36616105574324e-05	9.07614096010741	10375331	ENSG00000113302	ENSMUSG00000004296	Il12b
Map3k14	3.18999957318144	7.49828294303871	22.7286849408852	8.8231991776182e-08	3.75271648103161e-05	8.88601904551575	10391870	ENSG00000006062	ENSMUSG00000020941	Map3k14
Gadd45b	4.01417276829579	8.63615386222803	22.1708807033371	1.04643672008534e-07	4.15391277485934e-05	8.72548720636811	10364950	ENSG00000099860	ENSMUSG00000015312	Gadd45b
Rgs3	2.80039341613382	7.09775960782335	22.0817219646711	1.07577938733932e-07	4.15391277485934e-05	8.69933491023714	10607113	ENSG00000138835	ENSMUSG00000059810	Rgs3
Arc	3.02652910500099	6.70718933624764	22.0489767593549	1.08679112059181e-07	4.15391277485934e-05	8.68969522681816	10429491	ENSG00000198576	ENSMUSG00000022602	Arc
Cmc2	2.56886455302981	8.34606722522993	21.9071509407609	1.13599542593044e-07	4.15391277485934e-05	8.64772667175371	10582008	ENSG00000103121	ENSMUSG00000014633	Cmc2
Zeb1	3.12507192635947	6.21871263570121	21.2862313089594	1.38363688930292e-07	4.39255296750486e-05	8.45973728265564	10453678	ENSG00000148516	ENSMUSG00000024238	Zeb1
Relb	3.00498358986203	7.66831090214631	21.0797823354726	1.47923743662708e-07	4.45726833022987e-05	8.39565774312342	10560575	ENSG00000104856	ENSMUSG00000002983	Relb
Syn3	3.89514078498735	6.57503874819749	20.9758614993645	1.5302007066135e-07	4.53398469369579e-05	8.3630964125237	10371466	ENSG00000185666	ENSMUSG00000059602	Syn3
Grasp	4.38756459902356	6.36421234956887	20.9305559456903	1.55304421583772e-07	4.54332568830524e-05	8.34883622487758	10427026	ENSG00000161835	ENSMUSG00000000531	Grasp
Nr4a3	4.11811447492713	7.39957428879539	20.9190467272461	1.55890914043548e-07	4.54332568830524e-05	8.34520734631781	10504838	ENSG00000119508	ENSMUSG00000028341	Nr4a3
Birc2	2.82779656979055	7.9689403691626	20.6215481693958	1.71965502580536e-07	4.8252807210927e-05	8.25051274702392	10590791	ENSG00000110330	ENSMUSG00000057367	Birc2
Tbc1d4	3.45783109557769	6.39642814202027	20.6148111070047	1.72350841371013e-07	4.8252807210927e-05	8.24834823312476	10422028	ENSG00000136111	ENSMUSG00000033083	Tbc1d4
Pcgf5	2.90442108941999	7.85327414402641	20.5495150125229	1.7613710202251e-07	4.86454882628546e-05	8.22732300873712	10462683	ENSG00000180628	ENSMUSG00000024805	Pcgf5
Net1	3.45862522213839	7.87186988557111	20.210449332846	1.97392242161025e-07	5.34408554342808e-05	8.1167694929983	10407420	ENSG00000173848	ENSMUSG00000021215	Net1
Ssh1	2.2672504369003	7.35720970647339	20.1523827302345	2.01318811354366e-07	5.38202380189162e-05	8.09760222672545	10532767	ENSG00000084112	ENSMUSG00000042121	Ssh1
Avpi1	2.44343034334313	7.56483008268503	20.097361844794	2.05121903186019e-07	5.43661816528035e-05	8.07937620702316	10467739	ENSG00000119986	ENSMUSG00000018821	Avpi1
Cnn2	2.45973167128037	8.22333611898573	19.998910807088	2.12133483433287e-07	5.54604274776027e-05	8.04660698350105	10364593	ENSG00000064666	ENSMUSG00000004665	Cnn2
Ogfrl1	2.87070004878313	7.51817493066356	19.7307582578737	2.32661187470886e-07	5.86702211469137e-05	7.95632046380611	10353524	ENSG00000119900	ENSMUSG00000026158	Ogfrl1
Il4i1	4.92646125940438	7.71647013778079	19.6829567721487	2.3655401678649e-07	5.9231793104651e-05	7.9400651544214	10552743	ENSG00000104951	ENSMUSG00000074141	Il4i1
Adgrg6	4.84356855173393	6.98505289232446	19.3243448018816	2.68250326986049e-07	6.48174165698513e-05	7.81653372322893	10367982	ENSG00000112414	ENSMUSG00000039116	Adgrg6
Car2	2.99473759339266	6.15485856862743	19.2456844026371	2.75835325036604e-07	6.5468859855827e-05	7.78905844879389	10490923	ENSG00000104267	ENSMUSG00000027562	Car2
Adora2a	2.78956341338726	6.65593630940798	19.2420332158838	2.76193300100519e-07	6.5468859855827e-05	7.78777976927735	10364030	ENSG00000128271	ENSMUSG00000020178	Adora2a
Traf1	2.99248433184512	8.88080727173069	19.0613258939331	2.94591470100721e-07	6.75773826509757e-05	7.72411916513218	10481949	ENSG00000056558	ENSMUSG00000026875	Traf1
Dennd4a	2.51105948875256	7.53983087670241	19.0166597307649	2.99352123963626e-07	6.8053292974745e-05	7.70826972222177	10586244	ENSG00000174485	ENSMUSG00000053641	Dennd4a
Helz2	3.50440141088017	7.44682153257634	19.0017373558723	3.00962120258315e-07	6.8053292974745e-05	7.70296446978168	10490632	ENSG00000130589	ENSMUSG00000027580	Helz2
