logFC	AveExpr	t	P.Value	adj.P.Val	B	ID	human_ensmbl	mouse_ensembl	gene_symbol
Stat4	6.62901043826007	7.29373105528475	47.6958572164708	4.90044444743466e-14	5.99161386844884e-10	22.3466283423294	10346168	ENSG00000138378	ENSMUSG00000062939	Stat4
Castor2	5.1505420486832	7.619249646525	45.1236528904217	8.95815662548067e-14	5.99161386844884e-10	21.8470219952304	10526191	ENSG00000274070	ENSMUSG00000015944	Castor2
Rassf2	4.14319398145686	7.04078987269994	41.7811942714546	2.06856225246392e-13	5.99161386844884e-10	21.1327706322401	10487894	ENSG00000101265	ENSMUSG00000027339	Rassf2
Sema7a	5.45617012850917	7.67938913087477	40.138681843346	3.1985036621216e-13	6.50597508749395e-10	20.7516795793299	10585778	ENSG00000138623	ENSMUSG00000038264	Sema7a
Adcy6	4.68009599041156	6.6919939750961	38.8242264867845	4.59214059147371e-13	7.77515004144948e-10	20.4309734330622	10432190	ENSG00000174233	ENSMUSG00000022994	Adcy6
Slc22a23	4.6434822287367	6.48282226445501	36.4774946219395	9.03534951583967e-13	1.075420798757e-09	19.8205391357258	10408616	ENSG00000137266	ENSMUSG00000038267	Slc22a23
Rassf3	3.63821466691492	7.38847959292098	36.1833900968032	9.86481444201277e-13	1.075420798757e-09	19.7403827209843	10372844	ENSG00000153179	ENSMUSG00000025795	Rassf3
Strip2	5.10897500274113	6.34506965827303	36.1135867698823	1.00736512110483e-12	1.075420798757e-09	19.7212331994184	10536949	ENSG00000128578	ENSMUSG00000039629	Strip2
Arhgef9	4.55249958024656	5.3502316350439	35.824573121243	1.09911059784827e-12	1.075420798757e-09	19.6414302689056	10605797	ENSG00000131089	ENSMUSG00000025656	Arhgef9
Tmem176a	5.34341823768396	7.09786411499662	35.6606705527461	1.15516195033661e-12	1.075420798757e-09	19.59580030223	10538150	ENSG00000002933	ENSMUSG00000023367	Tmem176a
B3gnt5	4.06208873424424	5.99501127568695	35.5919411302326	1.17958744379354e-12	1.075420798757e-09	19.5765851952346	10434291	ENSG00000176597	ENSMUSG00000022686	B3gnt5
Cytip	4.81220921932271	8.9226900631357	35.046273757804	1.39474899596968e-12	1.20910908226506e-09	19.4223068494208	10482802	ENSG00000115165	ENSMUSG00000026832	Cytip
Vdr	4.31828752456402	6.72437788340598	34.2237602409263	1.80432006913263e-12	1.38056386809585e-09	19.1838231385737	10432032	ENSG00000111424	ENSMUSG00000022479	Vdr
Scin	5.74483254992072	6.37504439144731	33.055997014997	2.62838721735025e-12	1.79721030577126e-09	18.832413423895	10400072	ENSG00000006747	ENSMUSG00000002565	Scin
Pip4k2a	2.89083844546517	8.99038016406545	32.7848009888894	2.87370106663542e-12	1.80054953323782e-09	18.7485600876561	10480347	ENSG00000150867	ENSMUSG00000026737	Pip4k2a
Cxcr4	3.75526415960553	9.10932657985246	32.3127103188538	3.36245927431355e-12	2.02636613487275e-09	18.600500356035	10357472	ENSG00000121966	ENSMUSG00000045382	Cxcr4
Sinhcaf	2.38383606728243	9.53587648526771	31.7920968748026	4.00891322120071e-12	2.19293720758481e-09	18.4340696852391	10549497	ENSG00000139146	ENSMUSG00000039985	Sinhcaf
Castor2.1	4.87067082106235	7.09858763317057	31.5315270989961	4.38239647890237e-12	2.2914777824096e-09	18.3494983606191	10526181	ENSG00000274070	ENSMUSG00000015944	Castor2
Atmin	2.710149335757	7.73332856802564	31.2480209481567	4.8323607910158e-12	2.38638083729664e-09	18.2564989060397	10575745	ENSG00000166454	ENSMUSG00000047388	Atmin
Sinhcaf.1	2.46318071131028	9.50674767131821	30.7906263832609	5.66818576213079e-12	2.72643186356137e-09	18.1042540551309	10436442	ENSG00000139146	ENSMUSG00000039985	Sinhcaf
Vgll4	3.57344928274122	7.81166067949604	30.7875500567225	5.67431538709476e-12	2.72643186356137e-09	18.1032207432252	10547009	ENSG00000144560	ENSMUSG00000030315	Vgll4
Cmc2	3.18304008439305	8.74452370546121	30.7068706421024	5.83767915453557e-12	2.76752693358222e-09	18.0760761357651	10582008	ENSG00000103121	ENSMUSG00000014633	Cmc2
Pnkd	3.56248926736155	6.92320504182686	29.9365209686464	7.68354562984624e-12	3.48785561372325e-09	17.8124427480829	10347310	ENSG00000127838	ENSMUSG00000026179	Pnkd
Sema6d	2.58900995645886	8.88705771981564	29.8843756994194	7.82972974361259e-12	3.48785561372325e-09	17.7943009021698	10475544	ENSG00000137872	ENSMUSG00000027200	Sema6d
Tmem176b	5.34728513699251	7.9908045736525	29.8750357036945	7.85623235069154e-12	3.48785561372325e-09	17.7910473910032	10544596	ENSG00000106565	ENSMUSG00000029810	Tmem176b
