logFC	AveExpr	t	P.Value	adj.P.Val	B	ID	human_ensmbl	mouse_ensembl	gene_symbol
Msr1	-5.86764332106199	8.16980477593961	-46.9897025823006	5.76417926146511e-14	5.99161386844884e-10	22.2134889882943	10578264	ENSG00000038945	ENSMUSG00000025044	Msr1
Ccr5	-5.23461706153158	7.48735621320569	-44.5856705839842	1.02065880410158e-13	5.99161386844884e-10	21.7372475705591	10590635	ENSG00000160791	ENSMUSG00000079227	Ccr5
Ccr5.1	-5.23461706153158	7.48735621320569	-44.5856705839842	1.02065880410158e-13	5.99161386844884e-10	21.7372475705591	10598013	ENSG00000160791	ENSMUSG00000079227	Ccr5
Mpp1	-4.04127547648571	7.91634483523898	-42.6765469954324	1.64272616063522e-13	5.99161386844884e-10	21.3318470046651	10605370	ENSG00000130830	ENSMUSG00000031402	Mpp1
Csf1r	-5.33181750623382	8.28596780682469	-42.5370904190526	1.70223517622106e-13	5.99161386844884e-10	21.3012269163923	10456071	ENSG00000182578	ENSMUSG00000024621	Csf1r
Tgfbi	-5.39123572450433	8.49199923653784	-42.0365400356302	1.9360008256975e-13	5.99161386844884e-10	21.1901501646359	10405587	ENSG00000120708	ENSMUSG00000035493	Tgfbi
Plxdc2	-4.19505699221358	7.87944885439816	-40.9532544179176	2.57122683613671e-13	6.4746333966115e-10	20.9433134761831	10469457	ENSG00000120594	ENSMUSG00000026748	Plxdc2
Acsl1	-3.90946258421472	9.50777416913803	-40.7260677083181	2.73145182104771e-13	6.4746333966115e-10	20.8903969803722	10571657	ENSG00000151726	ENSMUSG00000018796	Acsl1
Kdr	-5.12350528121495	6.3842383863166	-40.3204680323696	3.04526742510915e-13	6.50597508749395e-10	20.7949064880531	10530692	ENSG00000128052	ENSMUSG00000062960	Kdr
Cd38	-5.08569260707138	6.78372266363367	-40.0305732670089	3.29360871793484e-13	6.50597508749395e-10	20.7258451888505	10521678	ENSG00000004468	ENSMUSG00000029084	Cd38
C2	-4.80440060539217	7.72592488986561	-39.1657380084182	4.17549452749092e-13	7.77515004144948e-10	20.5156978332983	10598175	ENSG00000166278	ENSMUSG00000024371	C2
C2.1	-5.74542185821974	7.32525499824707	-38.1869486561579	5.49622358277679e-13	8.14265523788381e-10	20.2701594029987	10429573	ENSG00000166278	ENSMUSG00000024371	C2
Gpr141	-5.05427021018342	7.59552342181035	-36.9938007096117	7.75727895233978e-13	1.075420798757e-09	19.9592261912222	10407985	ENSG00000187037	ENSMUSG00000053101	Gpr141
F2	-4.90504726573822	7.21411473366295	-36.2765707805765	9.59336312942768e-13	1.075420798757e-09	19.7658704601775	10500335	ENSG00000180210	ENSMUSG00000027249	F2
C3	-4.33075987543161	6.71004809834702	-35.8877782636276	1.07829422263107e-12	1.075420798757e-09	19.6589539931106	10530827	ENSG00000125730	ENSMUSG00000024164	C3
C2.2	-4.92557051784142	7.93818121374433	-35.6951550659774	1.1431149246153e-12	1.075420798757e-09	19.605423266338	10419154	ENSG00000166278	ENSMUSG00000024371	C2
Slc7a8	-5.24587992585028	7.00705400115112	-35.6901600432686	1.14485139635125e-12	1.075420798757e-09	19.6040301435516	10419854	ENSG00000092068	ENSMUSG00000022180	Slc7a8
F7	-5.04889387227784	7.51330425341664	-35.4257100785589	1.24102483608471e-12	1.1031469767957e-09	19.5299115881198	10570280	ENSG00000057593	ENSMUSG00000031443	F7
Igsf6	-5.41334698140651	7.99564461490157	-34.9427312338744	1.44022191932634e-12	1.20910908226506e-09	19.3926821202389	10567580	ENSG00000140749	ENSMUSG00000035004	Igsf6
