"ensembl_gene_id"	"go_id"	"go_term_name"	"go_term_type"	"gene_biotype"
"1"	"TGME49-225080"	"GO:0003723"	"RNA binding"	"molecular_function"	"protein_coding"
"2"	"TGME49-225080"	"GO:0003735"	"structural constituent of ribosome"	"molecular_function"	"protein_coding"
"3"	"TGME49-225080"	"GO:0005840"	"ribosome"	"cellular_component"	"protein_coding"
"4"	"TGME49-225080"	"GO:0006412"	"translation"	"biological_process"	"protein_coding"
"5"	"TGME49-225080"	"GO:0003676"	"nucleic acid binding"	"molecular_function"	"protein_coding"
"6"	"TGME49-224675"	""	""	""	"protein_coding"
"7"	"TGME49-214220"	""	""	""	"protein_coding"
"8"	"TGME49-230430"	"GO:0016021"	"integral component of membrane"	"cellular_component"	"protein_coding"
"9"	"TGME49-230430"	"GO:0016192"	"vesicle-mediated transport"	"biological_process"	"protein_coding"
"10"	"TGME49-230430"	"GO:0016020"	"membrane"	"cellular_component"	"protein_coding"
"11"	"TGME49-246150"	""	""	""	"protein_coding"
"12"	"TGME49-311100"	"GO:0046872"	"metal ion binding"	"molecular_function"	"protein_coding"
"13"	"TGME49-278090"	""	""	""	"protein_coding"
"14"	"TGME49-216155"	""	""	""	"protein_coding"
"15"	"TGME49-311790"	""	""	""	"protein_coding"
"16"	"TGME49-310290"	""	""	""	"protein_coding"
"17"	"TGME49-248830"	"GO:0004435"	"phosphatidylinositol phospholipase C activity"	"molecular_function"	"protein_coding"
"18"	"TGME49-248830"	"GO:0004871"	"obsolete signal transducer activity"	"molecular_function"	"protein_coding"
"19"	"TGME49-248830"	"GO:0005509"	"calcium ion binding"	"molecular_function"	"protein_coding"
"20"	"TGME49-248830"	"GO:0005543"	"phospholipid binding"	"molecular_function"	"protein_coding"
"21"	"TGME49-248830"	"GO:0005938"	"cell cortex"	"cellular_component"	"protein_coding"
"22"	"TGME49-248830"	"GO:0016042"	"lipid catabolic process"	"biological_process"	"protein_coding"
"23"	"TGME49-248830"	"GO:0032065"	"maintenance of protein location in cell cortex"	"biological_process"	"protein_coding"
"24"	"TGME49-248830"	"GO:0035556"	"intracellular signal transduction"	"biological_process"	"protein_coding"
"25"	"TGME49-248830"	"GO:0007165"	"signal transduction"	"biological_process"	"protein_coding"
"26"	"TGME49-248830"	"GO:0006629"	"lipid metabolic process"	"biological_process"	"protein_coding"
"27"	"TGME49-248830"	"GO:0008081"	"phosphoric diester hydrolase activity"	"molecular_function"	"protein_coding"
"28"	"TGME49-248830"	"GO:0016787"	"hydrolase activity"	"molecular_function"	"protein_coding"
"29"	"TGME49-248830"	"GO:0005515"	"protein binding"	"molecular_function"	"protein_coding"
"30"	"TGME49-214340"	""	""	""	"protein_coding"
"31"	"TGME49-215895"	"GO:0003700"	"DNA-binding transcription factor activity"	"molecular_function"	"protein_coding"
"32"	"TGME49-236070"	"GO:0004735"	"pyrroline-5-carboxylate reductase activity"	"molecular_function"	"protein_coding"
"33"	"TGME49-236070"	"GO:0055129"	"L-proline biosynthetic process"	"biological_process"	"protein_coding"
"34"	"TGME49-236070"	"GO:0006561"	"proline biosynthetic process"	"biological_process"	"protein_coding"
"35"	"TGME49-236070"	"GO:0016491"	"oxidoreductase activity"	"molecular_function"	"protein_coding"
"36"	"TGME49-236070"	"GO:0008652"	"cellular amino acid biosynthetic process"	"biological_process"	"protein_coding"
"37"	"TGME49-310360"	"GO:0016021"	"integral component of membrane"	"cellular_component"	"protein_coding"
"38"	"TGME49-310360"	"GO:0016020"	"membrane"	"cellular_component"	"protein_coding"
"39"	"TGME49-309560"	"GO:0016021"	"integral component of membrane"	"cellular_component"	"protein_coding"
"40"	"TGME49-309560"	"GO:0016020"	"membrane"	"cellular_component"	"protein_coding"
"41"	"TGME49-230970"	""	""	""	"protein_coding"
"42"	"TGME49-272300"	""	""	""	"protein_coding"
"43"	"TGME49-313270"	""	""	""	"protein_coding"
"44"	"TGME49-249300"	"GO:0016021"	"integral component of membrane"	"cellular_component"	"protein_coding"
"45"	"TGME49-249300"	"GO:0016020"	"membrane"	"cellular_component"	"protein_coding"
"46"	"TGME49-268390"	""	""	""	"protein_coding"
"47"	"TGME49-312310"	"GO:0005524"	"ATP binding"	"molecular_function"	"protein_coding"
"48"	"TGME49-312310"	"GO:0016887"	"ATPase"	"molecular_function"	"protein_coding"
"49"	"TGME49-312310"	"GO:0016787"	"hydrolase activity"	"molecular_function"	"protein_coding"
"50"	"TGME49-218550"	"GO:0005524"	"ATP binding"	"molecular_function"	"protein_coding"
"51"	"TGME49-218550"	"GO:0008353"	"RNA polymerase II CTD heptapeptide repeat kinase activity"	"molecular_function"	"protein_coding"
"52"	"TGME49-218550"	"GO:0004672"	"protein kinase activity"	"molecular_function"	"protein_coding"
"53"	"TGME49-218550"	"GO:0016740"	"transferase activity"	"molecular_function"	"protein_coding"
"54"	"TGME49-218550"	"GO:0016301"	"kinase activity"	"molecular_function"	"protein_coding"
"55"	"TGME49-218550"	"GO:0006468"	"protein phosphorylation"	"biological_process"	"protein_coding"
"56"	"TGME49-218550"	"GO:0016310"	"phosphorylation"	"biological_process"	"protein_coding"
"57"	"TGME49-217870"	"GO:0016021"	"integral component of membrane"	"cellular_component"	"protein_coding"
"58"	"TGME49-217870"	"GO:0019706"	"protein-cysteine S-palmitoyltransferase activity"	"molecular_function"	"protein_coding"
"59"	"TGME49-217870"	"GO:0016740"	"transferase activity"	"molecular_function"	"protein_coding"
"60"	"TGME49-217870"	"GO:0016020"	"membrane"	"cellular_component"	"protein_coding"
"61"	"TGME49-217870"	"GO:0016746"	"acyltransferase activity"	"molecular_function"	"protein_coding"
"62"	"TGME49-217870"	"GO:0016409"	"palmitoyltransferase activity"	"molecular_function"	"protein_coding"
"63"	"TGME49-312570"	"GO:0005524"	"ATP binding"	"molecular_function"	"protein_coding"
"64"	"TGME49-312570"	"GO:0005622"	"intracellular anatomical structure"	"cellular_component"	"protein_coding"
"65"	"TGME49-312570"	"GO:0004707"	"MAP kinase activity"	"molecular_function"	"protein_coding"
"66"	"TGME49-312570"	"GO:0004672"	"protein kinase activity"	"molecular_function"	"protein_coding"
"67"	"TGME49-312570"	"GO:0016740"	"transferase activity"	"molecular_function"	"protein_coding"
"68"	"TGME49-312570"	"GO:0016301"	"kinase activity"	"molecular_function"	"protein_coding"
"69"	"TGME49-312570"	"GO:0006468"	"protein phosphorylation"	"biological_process"	"protein_coding"
"70"	"TGME49-312570"	"GO:0016310"	"phosphorylation"	"biological_process"	"protein_coding"
"71"	"TGME49-312570"	"GO:0004674"	"protein serine/threonine kinase activity"	"molecular_function"	"protein_coding"
"72"	"TGME49-312570"	"GO:0000165"	"MAPK cascade"	"biological_process"	"protein_coding"
"73"	"TGME49-312570"	"GO:0106310"	"protein serine kinase activity"	"molecular_function"	"protein_coding"
"74"	"TGME49-312570"	"GO:0106311"	"protein threonine kinase activity"	"molecular_function"	"protein_coding"
"75"	"TGME49-236200"	"GO:0005524"	"ATP binding"	"molecular_function"	"protein_coding"
"76"	"TGME49-236200"	"GO:0016887"	"ATPase"	"molecular_function"	"protein_coding"
"77"	"TGME49-236200"	"GO:0006298"	"mismatch repair"	"biological_process"	"protein_coding"
"78"	"TGME49-236200"	"GO:0030983"	"mismatched DNA binding"	"molecular_function"	"protein_coding"
"79"	"TGME49-236200"	"GO:0032300"	"mismatch repair complex"	"cellular_component"	"protein_coding"
"80"	"TGME49-236200"	"GO:0006974"	"cellular response to DNA damage stimulus"	"biological_process"	"protein_coding"
"81"	"TGME49-226650"	""	""	""	"protein_coding"
"82"	"TGME49-268220"	""	""	""	"protein_coding"
"83"	"TGME49-267330"	"GO:0004333"	"fumarate hydratase activity"	"molecular_function"	"protein_coding"
"84"	"TGME49-267330"	"GO:0016829"	"lyase activity"	"molecular_function"	"protein_coding"
"85"	"TGME49-267330"	"GO:0046872"	"metal ion binding"	"molecular_function"	"protein_coding"
"86"	"TGME49-267330"	"GO:0051536"	"iron-sulfur cluster binding"	"molecular_function"	"protein_coding"
"87"	"TGME49-267330"	"GO:0051539"	"4 iron, 4 sulfur cluster binding"	"molecular_function"	"protein_coding"
"88"	"TGME49-267330"	"GO:0016836"	"hydro-lyase activity"	"molecular_function"	"protein_coding"
"89"	"TGME49-312420"	""	""	""	"protein_coding"
"90"	"TGME49-229020"	"GO:0005524"	"ATP binding"	"molecular_function"	"protein_coding"
"91"	"TGME49-229020"	"GO:0008353"	"RNA polymerase II CTD heptapeptide repeat kinase activity"	"molecular_function"	"protein_coding"
"92"	"TGME49-229020"	"GO:0004672"	"protein kinase activity"	"molecular_function"	"protein_coding"
"93"	"TGME49-229020"	"GO:0016740"	"transferase activity"	"molecular_function"	"protein_coding"
"94"	"TGME49-229020"	"GO:0016301"	"kinase activity"	"molecular_function"	"protein_coding"
"95"	"TGME49-229020"	"GO:0006468"	"protein phosphorylation"	"biological_process"	"protein_coding"
"96"	"TGME49-229020"	"GO:0016310"	"phosphorylation"	"biological_process"	"protein_coding"
"97"	"TGME49-309752"	"GO:0005524"	"ATP binding"	"molecular_function"	"protein_coding"
"98"	"TGME49-309752"	"GO:0005739"	"mitochondrion"	"cellular_component"	"protein_coding"
"99"	"TGME49-309752"	"GO:0000287"	"magnesium ion binding"	"molecular_function"	"protein_coding"
"100"	"TGME49-309752"	"GO:0004775"	"succinate-CoA ligase (ADP-forming) activity"	"molecular_function"	"protein_coding"
"101"	"TGME49-309752"	"GO:0006099"	"tricarboxylic acid cycle"	"biological_process"	"protein_coding"
"102"	"TGME49-309752"	"GO:0003824"	"catalytic activity"	"molecular_function"	"protein_coding"
"103"	"TGME49-309752"	"GO:0046872"	"metal ion binding"	"molecular_function"	"protein_coding"
"104"	"TGME49-309752"	"GO:0000166"	"nucleotide binding"	"molecular_function"	"protein_coding"
"105"	"TGME49-309752"	"GO:0016874"	"ligase activity"	"molecular_function"	"protein_coding"
"106"	"TGME49-313318"	""	""	""	"protein_coding"
"107"	"TGME49-250080"	""	""	""	"protein_coding"
"108"	"TGME49-234350"	""	""	""	"protein_coding"
"109"	"TGME49-218730"	"GO:0016021"	"integral component of membrane"	"cellular_component"	"protein_coding"
"110"	"TGME49-218730"	"GO:0016020"	"membrane"	"cellular_component"	"protein_coding"
"111"	"TGME49-226420"	"GO:0046872"	"metal ion binding"	"molecular_function"	"protein_coding"
"112"	"TGME49-226420"	"GO:0004222"	"metalloendopeptidase activity"	"molecular_function"	"protein_coding"
"113"	"TGME49-226420"	"GO:0006508"	"proteolysis"	"biological_process"	"protein_coding"
"114"	"TGME49-226420"	"GO:0008233"	"peptidase activity"	"molecular_function"	"protein_coding"
"115"	"TGME49-226420"	"GO:0016787"	"hydrolase activity"	"molecular_function"	"protein_coding"
"116"	"TGME49-226420"	"GO:0008237"	"metallopeptidase activity"	"molecular_function"	"protein_coding"
"117"	"TGME49-310190"	"GO:0005524"	"ATP binding"	"molecular_function"	"protein_coding"
"118"	"TGME49-310190"	"GO:0004672"	"protein kinase activity"	"molecular_function"	"protein_coding"
