cellname;cell_class
131_A10;LDM_3h
131_A11;LDM_3h
131_A13;LDM_12h
131_A14;LDM_12h
131_A15;LDM_12h
131_A17;LDM_12h
131_A18;LDM_12h
131_A1;ctrl
131_A22;LDM_Lys3h
131_A2;ctrl
131_A3;ctrl
131_A4;ctrl
131_A5;ctrl
131_A6;ctrl
131_A8;LDM_3h
131_A9;LDM_3h
131_B10;LDM_3h
131_B11;LDM_3h
131_B12;LDM_3h
131_B14;LDM_12h
131_B16;LDM_12h
131_B17;LDM_12h
131_B19;LDM_Lys3h
131_B1;ctrl
131_B20;LDM_Lys3h
131_B21;LDM_Lys3h
131_B22;LDM_Lys3h
131_B23;LDM_Lys3h
131_B3;ctrl
131_B4;ctrl
131_B5;ctrl
131_B6;ctrl
131_B7;LDM_3h
131_B8;LDM_3h
131_B9;LDM_3h
131_C10;LDM_3h
131_C11;LDM_3h
131_C12;LDM_3h
131_C13;LDM_12h
131_C14;LDM_12h
131_C15;LDM_12h
131_C16;LDM_12h
131_C17;LDM_12h
131_C18;LDM_12h
131_C1;ctrl
131_C20;LDM_Lys3h
131_C22;LDM_Lys3h
131_C3;ctrl
131_C4;ctrl
131_C5;ctrl
131_C6;ctrl
131_C7;LDM_3h
131_C8;LDM_3h
131_C9;LDM_3h
131_D11;LDM_3h
131_D12;LDM_3h
131_D13;LDM_12h
131_D14;LDM_12h
131_D15;LDM_12h
131_D16;LDM_12h
131_D17;LDM_12h
131_D18;LDM_12h
131_D20;LDM_Lys3h
131_D21;LDM_Lys3h
131_D22;LDM_Lys3h
131_D2;ctrl
131_D3;ctrl
131_D4;ctrl
131_D5;ctrl
131_D7;LDM_3h
131_D8;LDM_3h
131_D9;LDM_3h
131_E10;LDM_3h
131_E11;LDM_3h
131_E12;LDM_3h
131_E13;LDM_12h
131_E14;LDM_12h
131_E15;LDM_12h
131_E16;LDM_12h
131_E17;LDM_12h
131_E18;LDM_12h
131_E19;LDM_Lys3h
131_E20;LDM_Lys3h
131_E24;LDM_Lys3h
131_E4;ctrl
131_E5;ctrl
131_E6;ctrl
131_E7;LDM_3h
131_E8;LDM_3h
131_E9;LDM_3h
131_F10;LDM_3h
131_F11;LDM_3h
131_F12;LDM_3h
131_F13;LDM_12h
131_F14;LDM_12h
131_F15;LDM_12h
131_F16;LDM_12h
131_F17;LDM_12h
131_F18;LDM_12h
131_F19;LDM_Lys3h
131_F20;LDM_Lys3h
131_F22;LDM_Lys3h
131_F23;LDM_Lys3h
131_F24;LDM_Lys3h
131_F3;ctrl
131_F4;ctrl
131_F6;ctrl
131_F7;LDM_3h
131_F8;LDM_3h
131_F9;LDM_3h
131_G10;LDM_3h
131_G11;LDM_3h
131_G12;LDM_3h
131_G13;LDM_12h
131_G14;LDM_12h
131_G15;LDM_12h
131_G16;LDM_12h
131_G17;LDM_12h
131_G18;LDM_12h
131_G1;ctrl
131_G20;LDM_Lys3h
131_G21;LDM_Lys3h
131_G22;LDM_Lys3h
131_G24;LDM_Lys3h
131_G2;ctrl
131_G5;ctrl
131_G6;ctrl
131_G8;LDM_3h
131_G9;LDM_3h
131_H10;LDM_3h
131_H11;LDM_3h
131_H12;LDM_3h
