"","cellname","celltype"
"1","131_M5","ctrl"
"2","131_K1","ctrl"
"3","131_N3","ctrl"
"4","131_N4","ctrl"
"5","131_N5","ctrl"
"6","131_N6","ctrl"
"7","131_G1","ctrl"
"8","131_C6","ctrl"
"9","131_C5","ctrl"
"10","131_C4","ctrl"
"11","131_C3","ctrl"
"12","131_M1","ctrl"
"13","131_G2","ctrl"
"14","131_G5","ctrl"
"15","131_G6","ctrl"
"16","131_O1","ctrl"
"17","131_K4","ctrl"
"18","131_J6","ctrl"
"19","131_K5","ctrl"
"20","131_D2","ctrl"
"21","131_E6","ctrl"
"22","131_E5","ctrl"
"23","131_E4","ctrl"
"24","131_L5","ctrl"
"25","131_L4","ctrl"
"26","131_L1","ctrl"
"27","131_M2","ctrl"
"28","131_M6","ctrl"
"29","131_F3","ctrl"
"30","131_F4","ctrl"
"31","131_F6","ctrl"
"32","131_N1","ctrl"
"33","131_D5","ctrl"
"34","131_D4","ctrl"
"35","131_D3","ctrl"
"36","131_K6","ctrl"
"37","131_J4","ctrl"
"38","131_C1","ctrl"
"39","131_O3","ctrl"
"40","131_H6","ctrl"
"41","131_P1","ctrl"
"42","131_I6","ctrl"
"43","131_A6","ctrl"
"44","131_A5","ctrl"
"45","131_A4","ctrl"
"46","131_A3","ctrl"
"47","131_H5","ctrl"
"48","131_A2","ctrl"
"49","131_A1","ctrl"
"50","131_P2","ctrl"
"51","131_P3","ctrl"
"52","131_P5","ctrl"
"53","131_P6","ctrl"
"54","131_I4","ctrl"
"55","131_I3","ctrl"
"56","131_I5","ctrl"
"57","131_O2","ctrl"
"58","131_H3","ctrl"
"59","131_L6","ctrl"
"60","131_B4","ctrl"
"61","131_B3","ctrl"
"62","131_B5","ctrl"
"63","131_B1","ctrl"
"64","131_J1","ctrl"
"65","131_B6","ctrl"
"66","131_O5","ctrl"
"67","131_O4","ctrl"
"68","131_H1","ctrl"
"69","131_G24","LDM_Lys3h"
"70","131_F20","LDM_Lys3h"
"71","131_L22","LDM_Lys3h"
"72","131_J24","LDM_Lys3h"
"73","131_F19","LDM_Lys3h"
"74","131_G22","LDM_Lys3h"
"75","131_G21","LDM_Lys3h"
"76","131_H20","LDM_Lys3h"
"77","131_F23","LDM_Lys3h"
"78","131_K19","LDM_Lys3h"
"79","131_J23","LDM_Lys3h"
"80","131_J21","LDM_Lys3h"
"81","131_G20","LDM_Lys3h"
"82","131_J20","LDM_Lys3h"
"83","131_H19","LDM_Lys3h"
"84","131_H21","LDM_Lys3h"
"85","131_K24","LDM_Lys3h"
"86","131_K21","LDM_Lys3h"
"87","131_K20","LDM_Lys3h"
"88","131_F22","LDM_Lys3h"
"89","131_F24","LDM_Lys3h"
"90","131_I23","LDM_Lys3h"
"91","131_C20","LDM_Lys3h"
"92","131_D21","LDM_Lys3h"
"93","131_D20","LDM_Lys3h"
"94","131_N20","LDM_Lys3h"
"95","131_N21","LDM_Lys3h"
"96","131_N22","LDM_Lys3h"
"97","131_N23","LDM_Lys3h"
"98","131_O24","LDM_Lys3h"
"99","131_N24","LDM_Lys3h"
"100","131_B19","LDM_Lys3h"
"101","131_B20","LDM_Lys3h"
"102","131_B21","LDM_Lys3h"
"103","131_B22","LDM_Lys3h"
"104","131_O19","LDM_Lys3h"
