p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Clec4e	7.72263239358001e-20	6.71363921589595	1	0.333	1.62862594548209e-15
Cxcl10	2.06368962939254e-11	-6	0	0.444	4.35211505942593e-07
Csf1	1.20060171385773e-10	-3.73507848462194	1	1	2.53194895435456e-06
Tmem51	2.31094388151073e-07	-5.12928301694497	0	0.778	0.00487354955171797
Acod1	4.34701780109049e-07	5.29545588352617	0.75	0.222	0.00916742584071974
Itgav	7.12951055725761e-07	-4.34914956362239	0.5	1	0.0150354248142006
Hfe	8.1994401959495e-07	-4.57538917401435	0.5	1	0.0172917994292379
Acot7	1.00489213096328e-06	-2.13897641314881	1	1	0.0211921701498846
Cd14	1.8846427015225e-06	3.89188843226927	1	0.889	0.039745229932408
Tgm2	3.43331211898557e-06	-2.83832630912545	1	1	0.0724051192772867
Mt1	4.43200448565972e-06	-2.07464623494752	1	1	0.0934665425980778
Maea	8.91721771627857e-06	-2.95247162991741	1	1	0.188055204418599
Helz2	1.01848269622422e-05	4.8703647195834	0.75	0.333	0.214787815806725
1700017B05Rik	1.15739074194694e-05	-3.48407914370849	0.5	1	0.244082133569189
Cad	1.33147206900498e-05	-3.4432343911095	0.5	1	0.280794144632459
Olr1	1.33410403100207e-05	-3.39126933334589	0.75	1	0.281349199098027
Lrrc8b	1.47334324777574e-05	-3.69707286704269	0.75	1	0.310713357523427
Ifitm1	1.89220606776726e-05	4.3450117080004	1	0.556	0.399047337631438
Sqstm1	2.04756230284695e-05	2.41325399792855	1	1	0.431810414047393
Ccl9	2.11193712560773e-05	-1.76813682154254	1	1	0.445386420419415
Tent5c	2.31994391557966e-05	-4.63742992061529	0	0.667	0.489252972356595
Cotl1	3.46632362496325e-05	-1.92168607239951	1	1	0.731012989268499
Fscn1	3.7802612384412e-05	4.71424551766612	0.75	0.222	0.797219292574865
Sord	4.53311138843552e-05	-3.88535743405888	0	0.889	0.955987860707168
