p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Ankrd16	6.17474951926827e-05	3.16992500144231	1	0.222	1
Ttc4	6.17474951934201e-05	3.3037807481771	1	0.556	1
Ext1	6.17474951945963e-05	3.64565843240871	1	0.333	1
Lrrc8d	6.1747495196557e-05	3.33985000288462	1	0.222	1
Ivd	6.17474951974829e-05	3.69348695749933	1	0.222	1
Acot7	6.1747495198396e-05	-2.13897641314881	1	1	1
Itgav	6.17474951991251e-05	-4.34914956362239	0.5	1	1
Csf1	6.17474951998012e-05	-3.73507848462194	1	1	1
Clec4e	6.17474952022795e-05	6.71363921589595	1	0.333	1
Ifi209	6.17474952038108e-05	2.46948528330122	1	0.333	1
Pcnx	6.17474952074679e-05	2.83977639974998	1	0.222	1
Zzef1	6.17474952077499e-05	3.27426166125705	1	0.556	1
Tmem39a	6.17474952090344e-05	2.96639160735718	1	0.778	1
Btg1	6.17474952113291e-05	1.36173365359596	1	1	1
Acadm	6.17474952125008e-05	3.1548181090521	1	0.444	1
Pigyl	6.17474952154351e-05	-2.71881824745595	1	1	1
Lsm4	6.17474952223172e-05	-1.59616795542904	1	1	1
Cotl1	6.17474952246457e-05	-1.92168607239951	1	1	1
Ppp1r13l	6.17474952298485e-05	2.8703647195834	1	0.222	1
Sqstm1	6.17474952306183e-05	2.41325399792855	1	1	1
Ctsc	6.17474952346792e-05	1.69963239017325	1	1	1
Eed	6.17474952591836e-05	1.4134820327768	1	1	1
Tapbp	6.17474952830949e-05	-1.49483821049196	1	1	1
Eif4ebp1	6.17474952915222e-05	0.961338379630895	1	1	1
Mxi1	6.17474952984843e-05	2.9005351005687	1	0.667	1
Anp32a	6.17474953047958e-05	-2.35662081305352	1	1	1
Cybb	6.17474953201722e-05	2.30237529746596	1	0.889	1
Fnbp1l	6.17474953384821e-05	3.01601231798863	1	0.667	1
Chst7	6.17474953507622e-05	3.86382187371663	1	0.111	1
Pirb	6.17474953723535e-05	2.68929916053589	1	0.556	1
Bmp2k	6.17474953818409e-05	0.970824901362617	1	1	1
Tgm2	6.17474953913939e-05	-2.83832630912545	1	1	1
Ccng2	6.17474954122987e-05	2.34722953325022	1	0.444	1
Htatip2	6.17474954818189e-05	2.84799690655495	1	0.556	1
Irak3	6.17474954858705e-05	3.29021923516002	1	0.333	1
Kctd12	6.174749548947e-05	2.7042614290935	1	0.556	1
Strip2	6.17474955731492e-05	3.00180224263399	1	0.556	1
Stx5a	6.17474955806191e-05	2.55987151975833	1	0.444	1
Pgap2	6.17474956797265e-05	1.34097054277854	1	1	1
Klhl3	6.17474958868531e-05	3.55896729218821	1	0.222	1
Ccl9	6.17474959377162e-05	-1.76813682154254	1	1	1
Arhgap45	6.174749599251e-05	2.82753280399523	1	0.778	1
Tm2d2	6.17474962087571e-05	2.82319351555438	1	0.778	1
Ccdc32	0.00026886886603307	2.75488750216347	1	0.111	1
Slc38a6	0.000268868866045676	2.6724253419715	1	0.111	1
Mrps31	0.000268868866415432	2.71424551766612	1	0.444	1
Hyal1	0.000268868866480939	2.01792190799726	1	0.111	1
Ncf1	0.000268868866655766	2.84235034341381	1	0.333	1
Maea	0.000268868866900852	-2.95247162991741	1	1	1
Prr14	0.000268868866950544	2.51096191927738	1	0.444	1
Atp8a1	0.000268868867400627	2.60288440871842	1	0.111	1
Csf2rb	0.000330916301287561	-1.21093937065351	1	1	1
Ogt	0.000358519118150513	1.70652448060207	1	1	1
Plpp5	0.00039828308735333	2.93176526424755	1	0.333	1
Crcp	0.000459497135393123	2.63624300566485	1	0.556	1
Ccr5	0.000470473416813472	3.61738397841353	1	0.222	1
Rufy2	0.000470473417665831	2.90689059560852	1	0.333	1
Clock	0.000470473418650302	-2.45066140900957	0.75	1	1
Gm6548	0.000470473418765245	2.54843662469604	1	0.111	1
Borcs8	0.000470473418803005	2.75488750216347	1	0.444	1
Erp44	0.000470473419389978	2.06069593168755	1	0.778	1
Aoah	0.000470473419505829	2.93545974780529	1	0.111	1
Ptma	0.000572750267842831	-0.932788685006266	1	1	1
Klf6	0.00060361390885987	1.62395663233702	1	1	1
Plekha8	0.000672791125635771	2.71741279674481	1	0.111	1
Diaph2	0.000690114159949314	-2.98657948423768	0.25	1	1
Ranbp2	0.000702912954464786	-3.05675477829723	0.75	1	1
Arrdc1	0.000750800965651293	2.71366483943696	1	0.556	1
Axl	0.000758737497759114	3.74619654189942	1	0.444	1
Snapin	0.000780255248702537	2.38222860515518	1	0.667	1
Gm4617	0.000808705859678804	-1.14201900487243	1	1	1
Sh3bgrl	0.000843346714087972	1.12010230280374	1	1	1
Poglut1	0.000876694123649085	3.65412452522855	1	0.444	1
Sord	0.00088962120908015	-3.88535743405888	0	0.889	1
