p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Rngtt	0.00193618555893516	-3.62449086490779	0	0.889	1
Sord	0.00193618555893517	-3.88535743405888	0	0.889	1
Urb1	0.00193618555893517	-3.67556504950206	0	0.889	1
Clec4e	0.00298867273983152	6.71363921589595	1	0.333	1
Btg1c	0.00431439487115506	1.16992500144231	0.75	0	1
Col27a1	0.00431439487115506	4.58496250072116	0.75	0	1
Csad	0.00431439487115506	1.70043971814109	0.75	0	1
Dennd4c	0.00431439487115506	2.24792751344359	0.75	0	1
Fbxo44	0.00431439487115506	2.64385618977472	0.75	0	1
Gm37199	0.00431439487115506	2.39231742277876	0.75	0	1
Gm48225	0.00431439487115506	2.32192809488736	0.75	0	1
Gstm5	0.00431439487115506	3.70043971814109	0.75	0	1
Lipt2	0.00431439487115506	3.7279204545632	0.75	0	1
Mgarp	0.00431439487115506	4	0.75	0	1
Mkks	0.00431439487115506	1.4594316186373	0.75	0	1
Mrm2	0.00431439487115506	2.16992500144231	0.75	0	1
Prkd2	0.00431439487115506	2.64385618977472	0.75	0	1
Tanc1	0.00431439487115506	1.70043971814109	0.75	0	1
Tlcd2	0.00431439487115506	2.16992500144231	0.75	0	1
Tmem141	0.00431439487115506	2.70043971814109	0.75	0	1
Zfp213	0.00431439487115506	2	0.75	0	1
Adam12	0.00431439487115506	4.71424551766612	0.75	0	1
Cryz	0.00431439487115506	3.16992500144231	0.75	0	1
Cyp2r1	0.00431439487115506	2	0.75	0	1
Gm45509	0.00431439487115506	1.16992500144231	0.75	0	1
Gm47773	0.00431439487115506	0.807354922057604	0.75	0	1
Gm48114	0.00431439487115506	2.8073549220576	0.75	0	1
Gm9042	0.00431439487115506	0.807354922057604	0.75	0	1
Numbl	0.00431439487115506	1.4594316186373	0.75	0	1
Psd3	0.00431439487115506	4.84549005094438	0.75	0	1
Ptchd1	0.00431439487115506	4.18982455888002	0.75	0	1
Tmem9	0.00431439487115506	2.39231742277876	0.75	0	1
Dbt	0.00431439487115506	1.4594316186373	0.75	0	1
Epha4	0.00431439487115506	1.8073549220576	0.75	0	1
Gm46344	0.00431439487115506	1.16992500144231	0.75	0	1
Ifi203-ps	0.00431439487115506	1.16992500144231	0.75	0	1
Kbtbd13	0.00431439487115506	3.52356195605701	0.75	0	1
Ppp1r32	0.00431439487115506	2.24792751344359	0.75	0	1
Zfp27	0.00431439487115506	2.4594316186373	0.75	0	1
