p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Gm7784	0	0.39231742277876	0.75	0.222	0
Stat4	0	3.56847437793259	0.5	0.222	0
Pms1	0	-0.637429920615292	0.5	0.556	0
Cflar	0	0.655351828612554	0.5	0.556	0
Gm37531	0	0.584962500721156	0.5	0.222	0
Eif4a-ps4	0	-0.704544116473829	0.5	0.556	0
Klf7	0	0.39231742277876	0.5	0.556	0
Sp110	0	-0.584962500721156	0.5	0.667	0
Gin1	0	-0.374395514781498	0.5	0.222	0
Prdx2-ps1	0	0.880418384247327	0.5	0.222	0
Psmb6-ps2	0	0.295455883526171	0.25	0.222	0
Gm18969	0	0.517848304862619	0.5	0.222	0
Cxcr4	0	-1.51457317282976	0.75	0.444	0
Gm37084	0	0.918386234446348	0.25	0.222	0
Gm5262	0	0.517848304862619	0.25	0.222	0
Dars2	0	-1.73696559416621	0.5	0.333	0
Aim2	0	-1.79970134951417	0.5	0.444	0
Ifi207	0	3.0680453874231	0.5	0.222	0
Tfb2m	0	-0.3536369546147	0.5	0.222	0
Pacc1	0	-2.83007499855769	0.5	0.444	0
Ankrd16	0	3.16992500144231	1	0.222	0
Ndor1	0	2.46538088496848	0.75	0.222	0
Dpp7	0	-0.662965012722429	0.5	0.667	0
Paxx	0	1.16992500144231	0.5	0.111	0
Olfm1	0	-3.22239242133645	0.75	0.556	0
Gm13394	0	-0.678071905112638	0.25	0.333	0
Zbtb43	0	0.797956224055354	0.5	0.444	0
Gm13886	0	0.39231742277876	0.75	0.222	0
Zfp770	0	0.362570079384709	0.5	0.444	0
Plcb2	0	0.710493382805015	0.25	0.222	0
Mfap1b	0	0.639410284743532	0.5	0.222	0
4930402H24Rik	0	1.03242147769238	0.5	0.222	0
Ap5s1	0	0.889817082249577	0.5	0.222	0
Mcm8	0	0.432959407276106	0.5	0.333	0
Fam110a	0	0.285402218862248	0.5	0.333	0
Hck	0	1.79795622405535	0.5	0.222	0
Acot8	0	1.41093310094611	0.5	0.222	0
Fam210b	0	-1.94555221597762	0.5	0.556	0
Gm14567	0	0.295455883526171	0.5	0.111	0
Mtm1	0	0.906890595608519	0.5	0.333	0
Eif2s3x	0	0.295455883526171	0.25	0.222	0
Zxdb	0	-0.595609744920665	0.25	0.222	0
Gm14845	0	-0.567040592723894	0.5	0.556	0
Gm9164	0	0.276840205358824	0.75	0.111	0
Alg13	0	0.584962500721156	0.5	0.444	0
Abhd18	0	0.584962500721156	0.5	0.222	0
Gm6204	0	-0.493040011280117	0.5	0.444	0
Gm6394	0	0.295455883526171	0.5	0.111	0
Arfip1	0	0.639410284743532	0.75	0.222	0
Gm15417	0	-0.830074998557688	0.5	0.222	0
Sgms2	0	1.6724253419715	0.75	0.333	0
Atp6v0d2	0	-1.12775554719837	0.5	0.444	0
Gm27046	0	-0.332575339086871	0.5	0.667	0
Caap1	0	0.710493382805015	0.5	0.222	0
Gm12696	0	-0.637429920615291	0.5	0.444	0
Ssbp3	0	-2.2125446353801	0.75	0.556	0
Btf3l4	0	-1.15200309344505	0.5	0.667	0
Zfp362	0	1.29545588352617	0.25	0.222	0
Trim62	0	2.36786437905422	0.25	0.222	0
Fgr	0	1.51784830486262	0.25	0.222	0
Nipal3	0	0.276840205358824	0.75	0.222	0
Zfp993	0	-0.830074998557688	0.5	0.444	0
Dbf4	0	-1.56704059272389	0.5	0.333	0
Tmem60	0	-0.256339753259786	0.5	0.667	0
Cenpa	0	0.362570079384708	0.5	0.333	0
Gm43178	0	0.295455883526171	0.5	0.111	0
C530043K16Rik	0	0.963474123974886	0.25	0.222	0
Gm5297	0	-1.56704059272389	0.5	0.889	0
Gm5870	0	0.710493382805015	0.75	0.222	0
Ywhaq-ps2	0	0.39231742277876	0.5	0.333	0
Ddx55	0	-1.33257533908687	0.5	0.556	0
Stx2	0	3.12685627955043	1	0.222	0
Tecpr1	0	2.28540221886225	0.5	0.333	0
Hepacam2	0	1.51784830486262	0.25	0.222	0
Sdhaf3	0	-1.15200309344505	0.5	0.333	0
Gm7554	0	0.46948528330122	0.5	0.222	0
Rbpj-ps3	0	0.947532580105864	0.5	0.222	0
Gm7890	0	-0.756074417113911	0.25	0.222	0
Ggct	0	1.43295940727611	0.75	0.222	0
Rpia	0	-2.22239242133645	0.5	0.444	0
Aldh1l1	0	0.928916901938517	0.25	0.222	0
2310001H17Rik	0	0.46948528330122	0.5	0.333	0
Isoc2b	0	-1.60266450245462	0.5	0.222	0
Zfp954	0	1.37637587890974	0.25	0.222	0
Zfp428	0	0.655351828612554	0.5	0.333	0
Map4k1	0	-0.830074998557688	0.5	0.333	0
Lin37	0	-0.60768257722124	0.5	0.556	0
Zfp936	0	-0.332575339086871	0.5	0.222	0
Fancf	0	-0.900464326449085	0.25	0.222	0
Gm44667	0	0.295455883526171	0.5	0.111	0
Ticrr	0	-1.19930880822341	0.5	0.222	0
Gm2546	0	0.880418384247327	0.5	0.222	0
Slx1b	0	0.453717967442904	0.5	0.222	0
Ifitm3	0	1.29545588352617	0.5	0.444	0
Slc25a22	0	0.263034405833794	0.5	0.556	0
Rmnd1	0	-0.637429920615291	0.5	0.333	0
Gm16153	0	1.05444778402238	0.5	0.222	0
Esr1	0	3.10281080558378	0.75	0.222	0
Gm2467	0	1.16992500144231	0.5	0.111	0
Sesn1	0	-2.22239242133645	0.5	0.556	0
Gm15198	0	-0.270647589943669	0.75	0.667	0
4930430F08Rik	0	1.0703893278914	0.5	0.222	0
Lyz1	0	-0.493040011280117	0.5	0.444	0
Marchf9	0	-0.493040011280117	0.5	0.222	0
Nemp1	0	0.453717967442904	0.5	0.222	0
Irs2	0	-2.02647221136119	0.5	0.778	0
Micu3	0	1.27684020535882	0.5	0.444	0
Homer3	0	-1.73696559416621	0.5	0.444	0
Arrdc2	0	-2.60266450245462	0.5	0.556	0
Mir709	0	0.517848304862619	0.25	0.222	0
4921524J17Rik	0	0.404390255079335	0.5	0.222	0
Gm45774	0	0.276840205358824	0.75	0.222	0
Impdh2-ps	0	0.295455883526171	0.5	0.111	0
Rfwd3	0	-0.451563375303958	0.75	0.444	0
Nudt7	0	1.04439411935845	0.5	0.444	0
Ppp3cc	0	1.71741279674481	0.5	0.222	0
Acod1	0	5.29545588352617	0.75	0.222	0
Mtmr2	0	-0.810966175609983	0.75	0.778	0
4931406C07Rik	0	-0.888968687611256	0.5	0.111	0
Ubash3b	0	-1.73696559416621	0.5	0.667	0
Bace1	0	-0.945552215977624	0.5	0.222	0
Sik3	0	-1.68805599368526	0.5	0.778	0
Nxpe4	0	1.84799690655495	0.25	0.222	0
Gm5620	0	-0.415037499278844	0.5	0.444	0
3000002C10Rik	0	-0.945552215977624	0.5	0.333	0
Gm7183	0	0.791413378188583	0.5	0.333	0
Exog	0	-0.637429920615291	0.5	0.222	0
Gm9856	0	-0.332575339086871	0.5	0.222	0
Tmem158	0	-1.05246741989414	0.5	0.333	0
Ccr5	0	3.61738397841353	1	0.222	0
Ppp2r3d	0	-0.415037499278844	0.5	0.222	0
Zmat5	0	-3	0.5	0.889	0
Gm12105	0	0.295455883526171	0.5	0.111	0
Ifi47	0	1.16992500144231	0.5	0.111	0
Snord49b	0	-0.332575339086871	0.5	0.333	0
Dvl2	0	-1.85982234195174	0.5	0.444	0
Git1	0	-1.13882770469732	0.5	0.778	0
B4galnt2	0	0.710493382805015	0.25	0.222	0
Krt10	0	0.710493382805015	0.5	0.222	0
Cep131	0	-0.332575339086871	0.5	0.111	0
AW209491	0	-0.289506617194985	0.5	0.556	0
Serpinb6b	0	1.79795622405535	0.5	0.222	0
Gm3604	0	-1.33257533908687	0.5	0.222	0
Aopep	0	-3.1963972128035	0.5	0.778	0
Gm48111	0	0.710493382805015	0.5	0.222	0
Zfp874a	0	-0.493040011280117	0.5	0.444	0
Ahrr	0	3.29545588352617	0.5	0.222	0
Gm4076	0	0.517848304862619	0.25	0.222	0
Gm20075	0	0.295455883526171	0.5	0.111	0
Gm47052	0	0.295455883526171	0.25	0.222	0
Bnip3l-ps	0	0.710493382805015	0.75	0.222	0
Klhdc1	0	2.16992500144231	0.25	0.222	0
Gm4864	0	1.16992500144231	0.75	0.222	0
Gm3695	0	-0.332575339086871	0.5	0.222	0
Pcnx	0	2.83977639974998	1	0.222	0
Irf2bpl	0	-1.06273575534796	0.5	0.556	0
Gm48585	0	0.276840205358824	0.75	0.111	0
Ank	0	-2.15200309344505	0.5	0.667	0
Gm9658	0	0.263034405833794	1	0.222	0
Pvt1	0	-1.39078995303217	0.5	0.444	0
Zc3h3	0	0.517848304862619	0.25	0.222	0
Slc52a2	0	0.584962500721157	0.5	0.333	0
Gm6847	0	-0.768674453893544	0.5	0.667	0
Tubgcp6	0	-2.15200309344505	0.5	0.556	0
Kif21a	0	1.1057946640226	0.5	0.222	0
Gm49172	0	-2.15200309344505	0.5	0.889	0
Rpap3	0	-0.53051471669878	0.5	0.556	0
Grasp	0	0.84799690655495	0.5	0.111	0
Cluap1	0	1.4594316186373	0.5	0.333	0
Gm18722	0	0.276840205358824	0.75	0.222	0
Osbpl11	0	-1.4623432140572	0.5	0.556	0
Timmdc1	0	1.86180270607998	0.5	0.444	0
Gm15530	0	1.04439411935845	0.5	0.333	0
Cd200r1	0	1.05444778402238	0.5	0.444	0
Gm8824	0	-0.415037499278844	0.5	0.556	0
Rpl24	0	1.29545588352617	0.5	0.222	0
Rwdd2b	0	2.47477958297073	0.5	0.222	0
BC002059	0	0.39231742277876	0.75	0.111	0
Gm30531	0	0.928916901938517	0.5	0.222	0
Zfp983	0	0.791413378188583	0.5	0.111	0
Zfp946	0	0.295455883526171	0.5	0.111	0
Mrps34	0	-1.63742992061529	0.5	0.778	0
Gm5430	0	0.263034405833794	1	0.444	0
Zfp811	0	0.295455883526171	0.5	0.111	0
Zfp870	0	-1.70454411647383	0.5	0.444	0
H2-Ob	0	2.10852445677817	0.25	0.333	0
Pbx2	0	-0.717600269299275	0.5	0.556	0
Atf6b	0	-0.959358015502654	0.5	0.778	0
Trim39	0	-1.47393118833241	0.5	0.444	0
Tomm6	0	-0.595609744920665	0.25	0.222	0
Rab5a	0	-2.3743955147815	0.5	0.889	0
Gm4518	0	0.276840205358824	0.25	0.444	0
4930405O22Rik	0	0.295455883526171	0.5	0.111	0
Zbtb14	0	-0.415037499278844	0.25	0.222	0
2700099C18Rik	0	-1.33257533908687	0.5	0.111	0
Gm7788	0	0.517848304862619	0.25	0.222	0
Gm6542	0	0.622437206139818	0.5	0.556	0
Hspe1-rs1	0	-0.332575339086871	0.5	0.556	0
C030005K06Rik	0	-1.15200309344505	0.25	0.222	0
Gm5507	0	0.295455883526171	0.5	0.111	0
Ppargc1b	0	-0.415037499278844	0.25	0.222	0
Gm5823	0	0.276840205358824	0.75	0.333	0
Fosl1	0	0.517848304862619	0.25	0.222	0
Macrod1	0	0.447458976971222	0.5	0.444	0
Tmem223	0	1.29545588352617	0.25	0.222	0
Zfyve27	0	-0.315501825727929	0.5	0.222	0
Npm3	0	0.432959407276106	0.5	0.222	0
Stn1	0	-1.63742992061529	0.5	0.444	0
Itprip	0	-1.15200309344505	0.5	0.333	0
Ttc4	7.2723458519627e-07	3.3037807481771	1	0.556	0.0153366501672041
Clec4e	1.82472398737826e-05	6.71363921589595	1	0.333	0.384816041698201
Btg1	1.91222737311726e-05	1.36173365359596	1	1	0.403269630716699
Supt16	2.23635469008857e-05	-0.254012557159765	0.75	1	0.471624840592778
Lrp10	2.60679979834565e-05	0.658279178364078	1	1	0.549748009473114
Taf12	3.24851610353855e-05	-0.341720821635922	0.75	1	0.685079561075245
Sting1	3.41675846766814e-05	3.65930984218124	0.75	0.333	0.720560193246533
Itgav	4.71760460934461e-05	-4.34914956362239	0.5	1	0.994895636064684
Ext1	5.09378284651492e-05	3.64565843240871	1	0.333	1
Zfp36	5.10835160863272e-05	-2.53494696301404	1	1	1
Alkbh2	5.89460427820188e-05	0.46948528330122	1	0.222	1
Acot7	6.31648466151509e-05	-2.13897641314881	1	1	1
Tmem39a	9.56808203007627e-05	2.96639160735718	1	0.778	1
Cog3	0.00011344913758346	-0.963930745292479	1	0.556	1
Arhgef3	0.000114619823842809	2.90689059560852	0.75	0.222	1
Lonrf3	0.000161063612211551	-1.20204377594465	0.75	0.444	1
Eed	0.000162617645732018	1.4134820327768	1	1	1
Abr	0.000162992752135772	0.832890014164741	0.75	0.444	1
Dhx29	0.000173336589978808	-2.01449956969511	1	0.556	1
Csf1	0.000177424535692334	-3.73507848462194	1	1	1
Cotl1	0.000178718464436777	-1.92168607239951	1	1	1
Ncor2	0.000185994836891325	-1.86960336274433	1	1	1
Zzef1	0.000186351993872462	3.27426166125705	1	0.556	1
Agpat1	0.000248244118731337	-0.553365655826817	0.75	0.889	1
Tysnd1	0.000249211440985419	-0.364411426208876	1	0.333	1
Lrrc8d	0.000252996828362847	3.33985000288462	1	0.222	1
Gnb4	0.000259908361392696	3.37637587890974	0.75	0.333	1
Ivd	0.000264923999284352	3.69348695749933	1	0.222	1
Pigyl	0.000290963281770969	-2.71881824745595	1	1	1
Fam114a2	0.000291484862954711	0.799281621521922	1	0.667	1
Fem1c	0.000306137098249455	1.31535544096388	1	0.333	1
Pla2g7	0.000316395856294949	1.424242190175	1	0.778	1
Car7	0.000317605424809117	-0.723159794641176	0.75	0.222	1
Cybb	0.000363441004649061	2.30237529746596	1	0.889	1
Mt1	0.000393034381370782	-2.07464623494752	1	1	1
Ncf2	0.000433533481625354	0.822001698022006	1	0.778	1
Ifi209	0.000468252510233855	2.46948528330122	1	0.333	1
Kdm1b	0.000474184355228113	2.72012208400279	0.5	0.222	1
Cd82	0.000477533301006538	-2.65550149353731	0.5	0.778	1
Pcx	0.000487196222352325	3.99774402605963	0.75	0.111	1
Gba	0.000504606842362364	0.552928673081444	1	1	1
Lsm4	0.000536093000656654	-1.59616795542904	1	1	1
Gm37494	0.000550225304014073	-0.660149997115375	0.5	0.222	1
Clns1a	0.000552975044621722	0.78265303054618	1	1	1
Anp32a	0.000578118752626716	-2.35662081305352	1	1	1
Tapbp	0.000593199472855393	-1.49483821049196	1	1	1
Mrps31	0.000598363776711823	2.71424551766612	1	0.444	1
Prpf38a	0.000614625637854081	0.303191532305776	0.75	0.778	1
Ano10	0.00062618298300467	-0.880701071627655	0.5	0.222	1
Pde6d	0.00063455823700523	0.498547748903683	1	0.667	1
Mxi1	0.000640048504531616	2.9005351005687	1	0.667	1
Capn10	0.000642162989918823	1.32746627842879	0.75	0.222	1
Ap2b1	0.000702039127189055	0.51184457151714	1	1	1
