p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Chil3	0	-0.80570278034878	0.75	0.889	0
Cacnb3	2.48314964446313e-143	2.86005234514727	0.75	0.556	5.2367142852083e-139
Apoe	6.70706883118464e-91	3.14635653030391	0.75	0.444	1.41445374580853e-86
P4ha2	7.84412170103502e-86	2.7722069783635	1	0.222	1.65424682553128e-81
Tmem176b	1.46256189104814e-72	1.61049759282829	0.75	0.667	3.08439677203143e-68
Gpnmb	6.56381602703791e-67	-2.89480071188828	0.5	0.778	1.38424316194203e-62
Cd200	9.95821685312124e-66	2.43462822763672	1	0.556	2.10008835215474e-61
H2-Eb1	4.48065987165697e-65	1.0241504270109	1	0.556	9.44926360333739e-61
Icam1	2.44717297229701e-43	1.63876894441695	1	0.667	5.16084308127717e-39
AW112010	1.09921169827125e-40	1.74761950169943	1	0.778	2.31812755048423e-36
St6gal1	4.72403797858709e-39	2.30742852519225	0.75	0.333	9.96252369304231e-35
Tmem37	3.80894408782436e-38	2.77913504841015	0.75	0.556	8.0326821868128e-34
Pnpla2	5.64452789342586e-29	2.45720695352278	1	0.333	1.19037448744458e-24
Mob1a	2.05423341803988e-28	0.978377725739994	1	0.889	4.3321728553043e-24
Slc30a7	7.56304499623401e-24	1.88476778471038	1	0.556	1.59497055925579e-19
Cnn3	1.17365702833565e-23	-2.40885892434972	1	0.778	2.47512530705705e-19
Serpinb9	4.06633264090754e-21	2.6823750023791	0.25	0.444	8.57548890640991e-17
Srd5a3	1.78896324136749e-20	1.62935662007961	0.5	0.778	3.7727445797199e-16
Clec4e	1.03901853323175e-19	6.71363921589595	1	0.333	2.19118618473245e-15
Sh3bgrl2	1.50080437968853e-19	-2.96913903629524	0.25	0.444	3.16504635632514e-15
Atp6v1a	3.35019264272138e-19	1.05681092139086	1	0.778	7.06522126423512e-15
Mmp14	6.16153289951972e-19	1.00370804877756	1	0.778	1.29940567317971e-14
Gsap	6.47912955699038e-19	1.13515958328164	1	0.778	1.3663836322737e-14
Abcd3	3.26479850275043e-18	1.73180388905043	0.75	0.667	6.88513356245038e-14
Fam20c	2.01361640279606e-17	-1.17199456863252	0.75	0.778	4.24651563185661e-13
Asah1	2.78706543651694e-17	1.04112323041526	1	0.889	5.87764229907058e-13
Myo1f	7.007657695064e-17	1.24108603036355	0.5	0.444	1.47784493131205e-12
Ttc4	9.66219597509305e-17	3.3037807481771	1	0.556	2.03766050918737e-12
Iars	3.68575184625006e-16	1.15556970846524	1	0.778	7.77288206855676e-12
Cpm	4.73140775767402e-16	1.42485435763905	0.75	0.333	9.97806582015874e-12
Cxcl2	1.37718731920179e-15	-1.40563880127659	0.75	0.556	2.90435033746465e-11
Pctp	1.81395423984642e-15	2.33498424771281	0.75	0.333	3.82544809641211e-11
Ccne1	2.54132410468934e-15	-2.47643804394299	0.5	0.778	5.35939840437935e-11
Ext1	6.85254570329561e-15	3.64565843240871	1	0.333	1.44513336336801e-10
Ano6	1.20942512243469e-14	-1.57730892817772	0.75	0.889	2.55055664070251e-10
Hnrnpul2	1.99921670905691e-14	2.04439411935845	0.75	0.444	4.21614811773012e-10
Nab2	3.10897744907715e-14	1.60849801518195	0.75	0.667	6.55652254235881e-10
Mapkapk3	9.97794719189367e-14	-1.2419998859692	0.75	0.889	2.10424928329846e-09
Smpdl3a	1.57174775530186e-13	1.32070495361792	0.5	0.556	3.31465884115609e-09
Rnf41	1.90835300859027e-13	1.79007693062577	0.75	0.333	4.02452565981602e-09
Rad9a	2.21322960127082e-13	1.35593698705226	0.75	0.556	4.66747990612004e-09
Cstf2	2.6510895402862e-13	-2.76081233612057	0.5	0.667	5.59088273150956e-09
Cd82	3.70993962615644e-13	-2.65550149353731	0.5	0.778	7.8238916776013e-09
Hhip	1.69116844832992e-12	-1.13967229153433	0.75	0.556	3.56650514068298e-08
Traf6	2.52017901390745e-12	1.18019333689614	1	0.556	5.31480552242942e-08
Ccnf	3.01160646380896e-12	-2.83007499855769	0.25	0.333	6.35117687152672e-08
Ctnnbl1	3.74425825366061e-12	-2.01182543539679	0.75	0.778	7.89626623114486e-08
Gpc1	4.02129638601567e-12	1.20259119036263	0.75	0.778	8.48051194846845e-08
Pigo	4.21278469140513e-12	1.82781902461732	0.75	0.222	8.88434163570428e-08
Slc43a3	5.33161083367445e-12	-2.37656335146421	0.25	0.556	1.1243834087136e-07
Acot7	6.66563709386866e-12	-2.13897641314881	1	1	1.40571620672596e-07
Dhx30	8.45553033052928e-12	-3.19082234233558	0.25	0.667	1.78318679140532e-07
Pdzk1ip1	9.13950487143493e-12	-2.28950661719498	0.5	0.444	1.92743018233691e-07
Ehd1	1.06135736350632e-11	0.568340279773743	1	0.889	2.23829654389849e-07
Pde7a	1.30431629491579e-11	-1.83588062023889	0.75	0.556	2.75067263434792e-07
Drg2	1.34862002619613e-11	0.928916901938518	1	0.778	2.84410477324502e-07
Zzef1	1.62131419019908e-11	3.27426166125705	1	0.556	3.41918949571085e-07
Rae1	2.23622055060454e-11	-1.3440367303777	0.5	0.889	4.71596551916991e-07
Slc37a2	2.85215743058586e-11	1.76553474636298	0.25	0.556	6.01491480536251e-07
Osm	3.57739761637627e-11	-2.22239242133645	0.5	0.667	7.54437383317592e-07
Cd84	4.08970319187115e-11	-1.64852762949862	0.75	0.889	8.62477506133708e-07
Abcd2	1.59629060729288e-10	1.40053792958373	0.75	0.444	3.36641726171996e-06
Map3k20	1.77959733461023e-10	-2.68422413209423	0.5	0.667	3.75299281895951e-06
St3gal4	2.29807188687947e-10	-1.74973289024008	0.25	0.778	4.84640380224011e-06
Ptgs1	2.49692521812373e-10	-2.66101674093291	0.25	0.667	5.26576559250113e-06
Ikbke	2.56286012138538e-10	1.4093909361377	0.75	0.444	5.40481570998962e-06
Mios	2.7046639016099e-10	1.47370574961942	0.75	0.556	5.70386570210513e-06
Myo18a	2.71443979263546e-10	2.0349954213562	0.5	0.444	5.72448207868892e-06
Psen1	3.22486826895811e-10	1.25828087586316	0.75	0.667	6.80092469240575e-06
Csf1	3.28104987630165e-10	-3.73507848462194	1	1	6.91940608413254e-06
Htatsf1	3.940952168693e-10	-1.67556504950206	0.5	0.889	8.31107402855667e-06
Fkbp9	4.26760750731687e-10	1.48711517732301	0.75	0.333	8.99995747218055e-06
Emc10	6.62234520550777e-10	-0.851448649350255	1	0.889	1.39658638038953e-05
Ica1	6.83009462662377e-10	1.65535182861255	0.5	0.444	1.44039865580869e-05
Ahr	7.38009067555132e-10	1.40125054754877	0.75	0.667	1.55638732256702e-05
