p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Fn1	0	1.39871220888784	1	1	0
Il1rn	0	-2.13468559722698	1	1	0
Cst3	0	-1.40650032206812	1	1	0
Chil3	0	-0.80570278034878	0.75	0.889	0
Actb	0	-0.762049386820614	1	1	0
Mt1	0	-2.07464623494752	1	1	0
Ccl9	0	-1.76813682154254	1	1	0
Fth1	0	1.01560887270263	1	1	0
Clec4n	3.07919704030846e-303	2.17944777556082	1	0.778	6.4937186383065e-299
Ucp2	6.4516025006418e-273	-1.23974554071576	1	1	1.36057845136035e-268
Tgm2	3.65294436159183e-252	-2.83832630912545	1	1	7.703694364161e-248
Csf2rb	3.11481656530624e-211	-1.21093937065351	1	1	6.56883665457433e-207
Mmp12	8.48359448933304e-192	3.05602881984186	1	0.889	1.78910524185544e-187
Spp1	1.14220006919433e-188	2.20529015499964	0.25	0.889	2.40878572592393e-184
Sqstm1	8.8457069591461e-187	2.41325399792855	1	1	1.86547114061432e-182
Csf1r	4.65185123867917e-161	2.29330741694759	1	0.778	9.8102890772505e-157
Lgals3	5.42479890653093e-158	1.00792993713932	1	1	1.14403584139831e-153
Ctsc	7.154187588052e-150	1.69963239017325	1	1	1.50874662044429e-145
H2-Aa	1.20627337004709e-149	1.11986205438591	1	0.778	2.54390991009232e-145
Cacnb3	2.3607661904279e-143	2.86005234514727	0.75	0.556	4.97861981899341e-139
Axl	1.83543979187258e-139	3.74619654189942	1	0.444	3.87075897708008e-135
Rassf4	1.25684999790266e-137	2.40133429613619	1	0.667	2.65057096057691e-133
Car4	5.47649049083539e-130	-2.02989648845015	0.75	1	1.15493707961228e-125
mt-Rnr2	7.60939615751813e-130	-0.400746456934302	1	1	1.604745555659e-125
Igfbp4	2.25652098524874e-129	1.91233473429865	0.75	0.444	4.75877710579107e-125
Arg1	1.03945192184895e-126	0.839743968340368	1	0.778	2.19210015798726e-122
mt-Rnr1	9.93747819702494e-124	-0.663945356154166	1	1	2.09571477697059e-119
Vim	4.60977640728335e-122	1.17078863214209	1	1	9.72155746531986e-118
Lyz2	5.63630648771934e-122	0.368984143654732	1	1	1.18864067519513e-117
Cd53	1.17026802879941e-121	1.42802951949816	1	0.889	2.46797824593507e-117
Cybb	1.5372092850961e-121	2.30237529746596	1	0.889	3.24182066133916e-117
Cd14	5.49169243821e-119	3.89188843226927	1	0.889	1.15814301829411e-114
Il1b	2.08238170355209e-115	3.33449676839042	0.75	0.444	4.39153477462099e-111
Prdx2	1.2477100050251e-109	1.66380577911897	1	1	2.63129562959743e-105
Vcan	1.86409741277257e-103	1.92843932012752	1	0.889	3.93119503379606e-99
Slc3a2	6.78858194611394e-100	1.06268659143065	1	1	1.43164404661597e-95
