myAUC	avg_diff	power	avg_log2FC	pct.1	pct.2
Mxi1	1	2.01049772707435	1	2.9005351005687	1	0.667
Stx5a	1	1.77436772651619	1	2.55987151975833	1	0.444
Tmem39a	1	2.05614597907631	1	2.96639160735718	1	0.778
Ext1	1	2.52697786370869	1	3.64565843240871	1	0.333
Pcnx	1	1.96838300490737	1	2.83977639974998	1	0.222
Klhl3	1	2.46688814428532	1	3.55896729218821	1	0.222
Zzef1	1	2.26954523891585	1	3.27426166125705	1	0.556
Sqstm1	1	1.67274020463919	1	2.41325399792855	1	1
Kctd12	1	1.87445118507317	1	2.7042614290935	1	0.556
Eif4ebp1	1	0.666348987405221	1	0.961338379630895	1	1
Tm2d2	1	1.95688862548164	1	2.82319351555438	1	0.778
Irak3	1	2.28060618627527	1	3.29021923516002	1	0.333
Btg1	1	0.943881842663631	1	1.36173365359596	1	1
Arhgap45	1	1.95989639103005	1	2.82753280399523	1	0.778
Pgap2	1	0.929489950940884	1	1.34097054277854	1	1
Eed	1	0.979751085791381	1	1.4134820327768	1	1
Ctsc	1	1.17809539923695	1	1.69963239017325	1	1
Htatip2	1	1.97408102602201	1	2.84799690655495	1	0.556
Ppp1r13l	1	1.98958521255797	1	2.8703647195834	1	0.222
Pirb	1	1.86408013080768	1	2.68929916053589	1	0.556
Clec4e	1	4.65354009379496	1	6.71363921589595	1	0.333
Strip2	1	2.08069076108027	1	3.00180224263399	1	0.556
Lrrc8d	1	2.3150076129926	1	3.33985000288462	1	0.222
Bmp2k	1	0.672924543196885	1	0.970824901362617	1	1
Ccng2	1	1.62697553309943	1	2.34722953325022	1	0.444
Ttc4	1	2.29000631078719	1	3.3037807481771	1	0.556
Acadm	1	2.18675327746892	1	3.1548181090521	1	0.444
Fnbp1l	1	2.09054043474789	1	3.01601231798863	1	0.667
Chst7	1	2.67819723795253	1	3.86382187371663	1	0.111
Cybb	1	1.5958849460294	1	2.30237529746596	1	0.889
Ivd	1	2.56013007102559	1	3.69348695749933	1	0.222
Ankrd16	1	2.19722457733622	1	3.16992500144231	1	0.222
Ifi209	1	1.71171676155452	1	2.46948528330122	1	0.333
Tapbp	0	-1.03614289099578	1	-1.49483821049196	1	1
Ccl9	0	-1.22557905269644	1	-1.76813682154254	1	1
Anp32a	0	-1.63348507221693	1	-2.35662081305352	1	1
Pigyl	0	-1.88454120267902	1	-2.71881824745595	1	1
Cotl1	0	-1.33201128300504	1	-1.92168607239951	1	1
Lsm4	0	-1.10637931800577	1	-1.59616795542904	1	1
Acot7	0	-1.48262547005832	1	-2.13897641314881	1	1
Csf1	0	-2.58895912078581	1	-3.73507848462194	1	1
Tgm2	0	-1.96737787867942	1	-2.83832630912545	1	1
Itgav	0	-3.01460075785837	1	-4.34914956362239	0.5	1
Slc38a6	0.986	1.85238409104449	0.972	2.6724253419715	1	0.111
Hyal1	0.986	1.39871688111845	0.972	2.01792190799726	1	0.111
Mrps31	0.986	1.88137162791774	0.972	2.71424551766612	1	0.444
Prr14	0.986	1.7404661748405	0.972	2.51096191927738	1	0.444
Ncf1	0.986	1.97016712670087	0.972	2.84235034341381	1	0.333
Atp8a1	0.986	1.80418198922661	0.972	2.60288440871842	1	0.111
Ccdc32	0.986	1.90954250488444	0.972	2.75488750216347	1	0.111
Maea	0.014	-2.04649738596048	0.972	-2.95247162991741	1	1
Zdhhc24	0.972	1.88706964903238	0.944	2.72246602447109	1	0.111
Gm6548	0.972	1.76644166124377	0.944	2.54843662469604	1	0.111
Ppp4r1	0.972	1.77918068702119	0.944	2.5668151540109	1	0.556
Gtpbp2	0.972	2.03214482697677	0.944	2.93176526424755	1	0.222
Poglut1	0.972	2.53284611207712	0.944	3.65412452522855	1	0.444
Itga1	0.972	2.08389589202922	0.944	3.00642626915943	1	0.444
Map3k1	0.972	1.11855429849988	0.944	1.61373273941081	1	1
Aoah	0.972	2.03470564783844	0.944	2.93545974780529	1	0.111
Klf6	0.972	1.12564096105603	0.944	1.62395663233702	1	1
Gga3	0.972	1.82041472498843	0.944	2.62630329610206	1	0.444
Supt6	0.972	1.51787071890861	0.944	2.18982455888002	1	0.778
Lrrc75a	0.972	1.63191076828616	0.944	2.35434957257974	1	0.111
Ccr5	0.972	2.50737950564006	0.944	3.61738397841353	1	0.222
Vwa5a	0.972	2.40082353257746	0.944	3.46365620449902	1	0.667
Borcs8	0.972	1.90954250488444	0.944	2.75488750216347	1	0.444
