p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Ttc4	3.96332448064078e-07	3.3037807481771	1	0.556	0.00835825499722335
Ext1	7.90782411164456e-07	3.64565843240871	1	0.333	0.0166768102690472
Tmem39a	1.80378020068147e-05	2.96639160735718	1	0.778	0.380399206521716
Mrps31	1.91650229462996e-05	2.71424551766612	1	0.444	0.404171168914513
Acadm	2.57086710046078e-05	3.1548181090521	1	0.444	0.542170162816174
Pigyl	4.19933725331447e-05	-2.71881824745595	1	1	0.885598233351489
Clec4e	5.51709786146595e-05	6.71363921589595	1	0.333	1
Itgav	8.24618321469184e-05	-4.34914956362239	0.5	1	1
Plpp5	8.95846203372035e-05	2.93176526424755	1	0.333	1
Tapbp	9.42936947394519e-05	-1.49483821049196	1	1	1
Gtpbp2	0.00010706295470512	2.93176526424755	1	0.222	1
St3gal3	0.000115994998972505	2.58496250072116	1	0.444	1
Pirb	0.000121684625996904	2.68929916053589	1	0.556	1
Htatip2	0.000133052643607621	2.84799690655495	1	0.556	1
Crcp	0.000142750226983503	2.63624300566485	1	0.556	1
Sord	0.000154810188850624	-3.88535743405888	0	0.889	1
Gga3	0.000163247799568833	2.62630329610206	1	0.444	1
Ip6k1	0.000167207933308966	2.31967212094699	1	0.556	1
Prr15	0.000167499975516926	2.37937836707126	1	0.222	1
Ppp4r1	0.000167797338134361	2.5668151540109	1	0.556	1
Mndal	0.000173154906991474	2.56358884992859	1	0.333	1
Habp4	0.000188110741802046	2.66468969319189	1	0.222	1
Klhl3	0.000232562334182933	3.55896729218821	1	0.222	1
Chst7	0.000236953761019576	3.86382187371663	1	0.111	1
Btg1	0.000274073771340743	1.36173365359596	1	1	1
Axl	0.000281439749760674	3.74619654189942	1	0.444	1
Zzef1	0.000291046471328197	3.27426166125705	1	0.556	1
Mxi1	0.000313537375517977	2.9005351005687	1	0.667	1
Pkn1	0.000343009474276819	1.60288440871842	1	0.333	1
Ddx41	0.000378799039283213	2.05311133645956	1	0.333	1
Lrrc8d	0.00045566570595626	3.33985000288462	1	0.222	1
Ctsc	0.000456493969682583	1.69963239017325	1	1	1
Tkfc	0.0005095818525185	1.69348695749933	1	0.222	1
Mt1	0.000528862672696864	-2.07464623494752	1	1	1
Zc3h8	0.000543025212880812	1.75488750216347	1	0.222	1
Strip2	0.000573494437138838	3.00180224263399	1	0.556	1
Anp32a	0.000589990183957712	-2.35662081305352	1	1	1
Ccng2	0.000609130949873027	2.34722953325022	1	0.444	1
Pias3	0.000651904418164209	1.82888808360725	1	0.222	1
Kctd12	0.000668489162158915	2.7042614290935	1	0.556	1
Snapin	0.000688698654559111	2.38222860515518	1	0.667	1
Borcs6	0.000705098107716283	2.05311133645956	1	0.556	1
Stx5a	0.000715534124584781	2.55987151975833	1	0.444	1
Limk2	0.000724991591944483	1.59442282997022	1	0.222	1
Poglut1	0.000802962701696163	3.65412452522855	1	0.444	1
Tmem51	0.000806392344951371	-5.12928301694497	0	0.778	1
Prr14	0.000850887007027158	2.51096191927738	1	0.444	1
Arrdc1	0.000867696432887499	2.71366483943696	1	0.556	1
Ifi209	0.000870692512665998	2.46948528330122	1	0.333	1
Abcf1	0.000894114949405907	-1.55161055215429	1	1	1
Fbxo9	0.000929464575552536	2.38751643651494	1	0.333	1
Efl1	0.00104868588523149	1.65535182861255	1	0.444	1
Itga1	0.00107412508070644	3.00642626915943	1	0.444	1
Fnbp1l	0.00112033479524853	3.01601231798863	1	0.667	1
Wac	0.00113686174882606	2.31831684133498	1	0.778	1
Gm6377	0.00115884147977837	1.57328069567352	1	0.222	1
Ctdspl2	0.00118426602333377	1.66742466091313	1	0.778	1
Rngtt	0.00120417478032714	-3.62449086490779	0	0.889	1
Ttc7	0.00121184920748314	-3.1926450779424	0.5	0.889	1
Urb1	0.00125676566297064	-3.67556504950206	0	0.889	1
Lrrc8b	0.00126268083877825	-3.69707286704269	0.75	1	1
Ivd	0.00130343404535897	3.69348695749933	1	0.222	1
Eif4ebp1	0.00133007828185512	0.961338379630895	1	1	1
Kmt5c	0.00134229248052887	1.8431146851752	1	0.667	1
Clec4d	0.00135439550302258	2.32604420335959	1	0.444	1
Orai3	0.00137006383647431	2.23220927969666	1	0.333	1
P4ha2	0.00140705569040455	2.7722069783635	1	0.222	1
Mthfsl	0.00142260515685624	1.76938707185858	1	0.778	1
Marcksl1	0.00144109422823939	1.74165167500677	1	1	1
Cybb	0.0014915146655915	2.30237529746596	1	0.889	1
Prkca	0.00149835500600914	-3.66296501272243	0	0.778	1
Ubac2	0.00150231506954865	1.45232473214304	1	0.556	1
Hook2	0.00155131697697971	2.50977500432694	1	0.111	1
Tspan33	0.00159508539102915	3.34417592828742	1	0.222	1
Sqstm1	0.0016389105249077	2.41325399792855	1	1	1
Ptger4	0.00166351933406281	2.0479344770637	1	0.667	1
Ucp2	0.00168063642772417	-1.23974554071576	1	1	1
Eed	0.00168438581400234	1.4134820327768	1	1	1
Ankrd16	0.00173683726817243	3.16992500144231	1	0.222	1
Borcs8	0.00176433368508218	2.75488750216347	1	0.444	1
Supt20	0.00178228475309979	1.68698343766166	1	0.778	1
Tmem126a	0.00186923631906958	1.59261607326459	1	0.778	1
Tm2d2	0.0018781298489165	2.82319351555438	1	0.778	1
Irak3	0.00188294504203374	3.29021923516002	1	0.333	1
Slc41a1	0.00190122152246742	3.23132554610646	1	0.556	1
Gpr155	0.00191408689734971	2.34863088842683	1	0.444	1
Msr1	0.00192350490628577	1.92568819106264	1	0.889	1
Supt6	0.00201151657213753	2.18982455888002	1	0.778	1
Ppp1r13l	0.0020123896029557	2.8703647195834	1	0.222	1
Ing1	0.00201749445987504	1.68213115972815	1	0.667	1
Nudt16	0.0020349131439892	1.73820876101684	1	0.444	1
Nav1	0.00212985930725171	-3.25153876699596	0.25	1	1
Sh3bgrl	0.00214141802821192	1.12010230280374	1	1	1
Cd200	0.00217401548661971	2.43462822763672	1	0.556	1
Oxld1	0.00218127804898648	1.22881869049588	1	0.222	1
Nfkb2	0.00222585428476132	1.14794065160679	1	1	1
Klf6	0.00222690532746927	1.62395663233702	1	1	1
Tmem168	0.00223201738192064	1.6472467789755	1	0.778	1
Map3k1	0.00226689113028671	1.61373273941081	1	1	1
Txnrd3	0.0022992318871192	-3.58496250072116	0	0.778	1
Zfp141	0.00236838703648507	1.08746284125034	1	0.333	1
Trappc13	0.00237368489800521	1.6271319549651	1	0.778	1
Ube2f	0.00237937357034404	1.43702907158515	1	1	1
Ankrd13b	0.00242887537572151	-3.06711419585854	0.25	0.889	1
Med30	0.00260203952858559	1.74578529505622	1	0.667	1
Erp44	0.00263220047355844	2.06069593168755	1	0.778	1
Zmym5	0.00265071244820726	1.86507041991389	1	0.444	1
Ifi27	0.00266205128636415	1.93288580414146	1	0.778	1
Ubfd1	0.0026648738054724	1.87446911791614	1	0.556	1
Fem1c	0.00266630811630245	1.31535544096388	1	0.333	1
Nsmf	0.00268105904920406	2.20095189706294	1	0.444	1
Ddx10	0.00270399013843144	1.94315413959529	1	0.889	1
Add3	0.00276502345464764	2.09145094341923	1	0.667	1
Lsm4	0.002895365966495	-1.59616795542904	1	1	1
Polr2d	0.00291385299520868	1.51637541546374	1	0.889	1
Zdhhc24	0.00297595661566424	2.72246602447109	1	0.111	1
Pja1	0.00298344005765625	1.20511442990461	1	0.333	1
Herpud2	0.00300114067088608	1.66403407171235	1	0.889	1
Il13ra1	0.00306869231761036	1.88815403302693	1	0.444	1
Osbp	0.00308919777562602	1.83734966235544	1	0.222	1
Pgap2	0.00311813275444806	1.34097054277854	1	1	1
Gm6942	0.00317496785983198	-1.83007499855769	0	0.778	1
Vezf1	0.00319105123367706	2.75488750216347	1	0.556	1
Atxn1	0.00323328225759768	-3.27485984123058	0.5	0.889	1
Gal3st2c	0.00324268310511037	-0.872244452801627	1	1	1
Mrps35	0.00331414743345031	1.45583387352869	1	0.667	1
Kif13a	0.00338920414376957	1.69755432709752	1	0.778	1
Selenon	0.00343035633188118	1.43295940727611	1	0.444	1
Ipo4	0.00347054806224627	1.54338339696976	1	0.556	1
Slc38a6	0.00349664368444212	2.6724253419715	1	0.111	1
Rrp36	0.00350426744574459	1.46800635437531	1	0.667	1
Ntan1	0.00351572970538323	2.26425238399047	1	0.667	1
Plxdc2	0.00358107309632939	1.99758890590026	1	0.778	1
Hfe	0.00359792998818817	-4.57538917401435	0.5	1	1
Phf21a	0.00360522610223937	1.59618975614441	1	0.667	1
Fancc	0.00369080916230726	2.86326366320826	1	0.444	1
Prdx2	0.00369834435584041	1.66380577911897	1	1	1
Setdb1	0.00398152912165873	1.67349917532281	1	0.889	1
Vps41	0.00408897139666818	1.56111575876679	1	0.778	1
Cul3	0.004127010146244	1.64229567578711	1	1	1
Arhgap45	0.00417968359525569	2.82753280399523	1	0.778	1
Pigc	0.00421186975723525	1.27915407119707	1	0.444	1
Poglut2	0.00421276147780293	2.58020897075052	1	0.222	1
Mtmr4	0.00423329358846496	2.15305118287792	1	0.778	1
Vps16	0.00426281398530707	1.37155886261196	1	0.889	1
Ogt	0.00428481832591804	1.70652448060207	1	1	1
Trps1	0.00428821265088405	1.61171522832684	1	0.667	1
Vrk3	0.00431788833167381	-5.07800251200127	0	0.667	1
Zfp335	0.00436343607843656	1.16992500144231	1	0.111	1
Zfp36	0.0044081385947738	-2.53494696301404	1	1	1
Tent5c	0.00448265251467114	-4.63742992061529	0	0.667	1
Trak2	0.0045988065420745	1.73382588663564	1	0.444	1
Clock	0.00460287556687755	-2.45066140900957	0.75	1	1
Prkacb	0.00460404649492775	-3.28950661719499	0	0.778	1
Nectin2	0.004636603160739	1.48639866623757	1	0.444	1
Eri1	0.00466544769673289	-2.30456096291727	1	1	1
Slc5a6	0.0046744621554655	-4.4594316186373	0	0.667	1
Nsf	0.00472609787836979	-1.20686502847957	1	1	1
Tbc1d4	0.00475257202941456	1.47477958297073	1	0.667	1
Calhm6	0.00477247289466187	-3.25633975325979	0	0.667	1
Chchd4	0.00487114535203585	1.85074751757099	1	0.889	1
Pknox1	0.00500341801993762	1.37851162325373	1	0.556	1
Eif4g1	0.00501098264082992	-1.09461142955671	1	1	1
Gm5297	0.00514298352378	-1.56704059272389	0.5	0.889	1
Rps12	0.00514794734665822	1.51387940265967	1	0.778	1
Clec4n	0.00516993894196697	2.17944777556082	1	0.778	1
2610001J05Rik	0.00517942417722958	1.68449817427207	1	0.556	1
Skil	0.00528296500698928	1.79997539169201	1	1	1
Spire1	0.00532631780778383	1.20469041960299	1	0.667	1
Pik3c2a	0.00533383406865938	1.43295940727611	1	0.222	1
Vim	0.00533565108660954	1.17078863214209	1	1	1
Szrd1	0.00535939302359832	-1.36849491334181	1	1	1
Mdc1	0.00538019160090406	1.99304723935823	1	0.444	1
Tubgcp4	0.00554461948113511	1.37503943134692	1	0.667	1
Gda	0.00560851043419598	1.56464251634156	1	0.889	1
Acot7	0.00566376203051159	-2.13897641314881	1	1	1
Gtpbp1	0.00571216114634605	1.43295940727611	1	0.556	1
Gale	0.00582545828161411	-3.66296501272243	0	0.667	1
Mef2a	0.00585355224248293	2.18487534290828	1	0.667	1
Bmp2k	0.00587149657355804	0.970824901362617	1	1	1
G6pdx	0.00587422651204029	2.21386834902991	1	1	1
Man2a2	0.00591148527719068	-3.53051471669878	0	0.667	1
Smarce1	0.00604116197434664	1.82374936030827	1	0.889	1
Ctnna1	0.00605373442577556	2.51882014392994	1	0.889	1
