p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Chst7	0.00207818345215569	3.86382187371663	1	0.111	1
Ccdc32	0.00268566317448978	2.75488750216347	1	0.111	1
Atp8a1	0.00273354292382628	2.60288440871842	1	0.111	1
Hyal1	0.00273354292382628	2.01792190799726	1	0.111	1
Slc38a6	0.00273354292382628	2.6724253419715	1	0.111	1
Tgm2	0.0027972027972028	-2.83832630912545	1	1	1
Cybb	0.0027972027972028	2.30237529746596	1	0.889	1
Csf1	0.0027972027972028	-3.73507848462194	1	1	1
Acot7	0.0027972027972028	-2.13897641314881	1	1	1
Bmp2k	0.0027972027972028	0.970824901362617	1	1	1
Ctsc	0.0027972027972028	1.69963239017325	1	1	1
Eed	0.0027972027972028	1.4134820327768	1	1	1
Btg1	0.0027972027972028	1.36173365359596	1	1	1
Lsm4	0.0027972027972028	-1.59616795542904	1	1	1
Cotl1	0.0027972027972028	-1.92168607239951	1	1	1
Sqstm1	0.0027972027972028	2.41325399792855	1	1	1
Ccl9	0.0027972027972028	-1.76813682154254	1	1	1
Tapbp	0.0027972027972028	-1.49483821049196	1	1	1
Ankrd16	0.00327871222096044	3.16992500144231	1	0.222	1
Ppp1r13l	0.00327871222096044	2.8703647195834	1	0.222	1
Pcnx	0.00327871222096044	2.83977639974998	1	0.222	1
Ivd	0.00332962350520839	3.69348695749933	1	0.222	1
Lrrc8d	0.00332962350520839	3.33985000288462	1	0.222	1
Klhl3	0.00332962350520839	3.55896729218821	1	0.222	1
Aoah	0.00345728604132887	2.93545974780529	1	0.111	1
Gm6548	0.00345728604132887	2.54843662469604	1	0.111	1
Lrrc75a	0.00363643306507806	2.35434957257974	1	0.111	1
Plekha8	0.00369733354804022	2.71741279674481	1	0.111	1
Zdhhc24	0.00369733354804022	2.72246602447109	1	0.111	1
Ifi209	0.00444617694563856	2.46948528330122	1	0.333	1
Clec4e	0.0045069339409631	6.71363921589595	1	0.333	1
Irak3	0.0045069339409631	3.29021923516002	1	0.333	1
Ext1	0.0045069339409631	3.64565843240871	1	0.333	1
