p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.87337185648361e-78,-4.9818109240639,0.408,0.995,3.9507539081383e-74,GM_Mac,Cacnb3
1.40001020458318e-74,-3.2888531373087,0.988,1,2.95248152044547e-70,GM_Mac,Tmem123
1.53803766460892e-74,-4.37774626608539,0.649,1,3.24356763089375e-70,GM_Mac,Ccr7
4.0098031839673e-72,-4.61918117589191,0.312,0.946,8.45627393466865e-68,GM_Mac,Nudt17
2.63726962497475e-70,4.36869946716828,0.994,0.541,5.56173791210924e-66,GM_Mac,Clec4n
3.06895319216417e-70,3.4832945921337,0.991,0.611,6.47211538695503e-66,GM_Mac,Grn
3.10841867627769e-70,-4.50078718040187,0.414,0.951,6.55534414640202e-66,GM_Mac,Mmp25
6.46893362500567e-70,-3.92290399623377,0.465,0.984,1.36423341217744e-65,GM_Mac,Rabgap1l
8.62659830661672e-70,4.47161589082583,0.97,0.27,1.8192633168824e-65,GM_Mac,Csf1r
7.61192802839607e-68,-3.22052029927617,0.757,0.989,1.60527950190845e-63,GM_Mac,Pkib
3.16346650921846e-67,-4.46480827331545,0.348,0.93,6.6714345212908e-63,GM_Mac,Adgrg6
4.60011393786405e-67,-4.12934164997584,0.195,0.886,9.70118028356149e-63,GM_Mac,Adcy6
4.96445942438928e-67,3.38237913573231,0.991,0.449,1.04695484800946e-62,GM_Mac,Cd53
5.32667245153323e-67,4.32098608046219,0.931,0.086,1.12334195330384e-62,GM_Mac,Itgam
1.36365959671383e-66,-3.17885482063153,0.715,0.989,2.87582172350979e-62,GM_Mac,Rogdi
3.03375325967641e-66,-4.125548024271,0.435,0.951,6.39788224933157e-62,GM_Mac,Gm13546
4.84050274704678e-66,3.82491648013722,0.988,0.416,1.0208136243247e-61,GM_Mac,Cfp
5.56763628777517e-66,4.86027653891029,0.943,0.195,1.1741588167289e-61,GM_Mac,Ly6e
5.94717687462164e-66,3.5931401591028,0.988,0.449,1.25420013108896e-61,GM_Mac,Itgb2
2.9344395133993e-65,-5.01104187861081,0.303,0.897,6.18843948980779e-61,GM_Mac,Stat4
4.42248138024682e-65,-5.86380300250046,0.381,0.919,9.32657098280251e-61,GM_Mac,Fscn1
4.53331307288311e-65,3.25280006531318,1,0.914,9.56030393940319e-61,GM_Mac,Prdx5
2.78311496211136e-64,4.22208467362169,0.988,0.665,5.86931114359666e-60,GM_Mac,Ccl6
5.79121376911798e-64,-4.15588738781846,0.321,0.914,1.22130907176929e-59,GM_Mac,Strip2
3.57192415705219e-63,-3.45251369591605,0.58,0.973,7.53283085480736e-59,GM_Mac,Tmem176b
7.5281413600185e-63,4.39538371735177,0.976,0.649,1.5876097314143e-58,GM_Mac,Ctsd
1.68135685528246e-62,5.61737284432323,0.943,0.286,3.54581347210518e-58,GM_Mac,Mmp12
2.14898721390631e-62,4.56255387160082,0.907,0.162,4.53199913540701e-58,GM_Mac,Mpeg1
1.14591770487632e-61,3.48097382862482,0.97,0.346,2.41662584781368e-57,GM_Mac,Alox5ap
2.9233453970838e-61,4.05889368905357,0.949,0.286,6.16504310791002e-57,GM_Mac,Ctsl
1.85458304339946e-60,3.81862846051007,0.928,0.259,3.91113018022511e-56,GM_Mac,Cebpb
1.47732682851075e-59,4.26809867815769,0.901,0.157,3.11553454864631e-55,GM_Mac,Myo1f
2.6096060300155e-59,4.50021341468007,0.868,0.097,5.5033981566997e-55,GM_Mac,Clec4a2
2.78130121367962e-59,-3.9084973958436,0.495,0.93,5.86548612952896e-55,GM_Mac,Net1
3.06530411594378e-59,-3.13313297007268,0.583,0.968,6.46441985011384e-55,GM_Mac,Rassf2
4.67698536535642e-59,-3.07919961836811,0.502,0.957,9.86329443700014e-55,GM_Mac,Tmem176a
1.55421554423574e-58,3.71798898145781,0.946,0.314,3.27768516123876e-54,GM_Mac,Cybb
1.71419006637683e-58,3.83633259261189,0.907,0.124,3.6150554309821e-54,GM_Mac,Ccr1
3.32926091717332e-58,-3.39722129004971,0.447,0.919,7.02107834822681e-54,GM_Mac,Sh3bp4
3.48179055355982e-58,-3.81427445473562,0.667,0.962,7.34274809840231e-54,GM_Mac,Cnn2
6.39834990347135e-58,3.21060360713041,0.958,0.357,1.34934801114307e-53,GM_Mac,Soat1
1.44198808678256e-57,4.62120494971576,0.877,0.151,3.04100867621574e-53,GM_Mac,F10
1.78573274644735e-57,3.86861122551101,0.928,0.308,3.76593178898282e-53,GM_Mac,Cd68
4.37665844500548e-57,5.83918719112687,0.844,0.086,9.22993499467206e-53,GM_Mac,Tgfbi
