ensembl_gene_id;external_gene_name;description;gene_biotype;species;co-expression_cluster
ENSMUSG00000041859;Mcm3;minichromosome maintenance complex component 3 [Source:MGI Symbol,Acc:MGI:101845];protein_coding;mouse;1
ENSMUSG00000093963;Gm21909;predicted gene, 21909 [Source:MGI Symbol,Acc:MGI:5434073];unprocessed_pseudogene;mouse;1
ENSMUSG00000025980;Hspd1;heat shock protein 1 (chaperonin) [Source:MGI Symbol,Acc:MGI:96242];protein_coding;mouse;1
ENSMUSG00000103424;Gm37535;predicted gene, 37535 [Source:MGI Symbol,Acc:MGI:5610763];TEC;mouse;10
ENSMUSG00000026238;Ptma;prothymosin alpha [Source:MGI Symbol,Acc:MGI:97803];protein_coding;mouse;1
ENSMUSG00000026281;Dtymk;deoxythymidylate kinase [Source:MGI Symbol,Acc:MGI:108396];protein_coding;mouse;1
ENSMUSG00000026305;Lrrfip1;leucine rich repeat (in FLII) interacting protein 1 [Source:MGI Symbol,Acc:MGI:1342770];protein_coding;mouse;9
ENSMUSG00000092572;Serpinb10;serine (or cysteine) peptidase inhibitor, clade B (ovalbumin), member 10 [Source:MGI Symbol,Acc:MGI:2138648];polymorphic_pseudogene;mouse;3
ENSMUSG00000094651;Gal3st2;galactose-3-O-sulfotransferase 2 [Source:MGI Symbol,Acc:MGI:2685834];protein_coding;mouse;9
ENSMUSG00000040713;Creg1;cellular repressor of E1A-stimulated genes 1 [Source:MGI Symbol,Acc:MGI:1344382];protein_coding;mouse;1
ENSMUSG00000058715;Fcer1g;Fc receptor, IgE, high affinity I, gamma polypeptide [Source:MGI Symbol,Acc:MGI:95496];protein_coding;mouse;1
ENSMUSG00000039997;Ifi203;interferon activated gene 203 [Source:MGI Symbol,Acc:MGI:96428];protein_coding;mouse;6
ENSMUSG00000066677;Ifi208;interferon activated gene 208 [Source:MGI Symbol,Acc:MGI:2442822];protein_coding;mouse;6
