Correlation values of extended T. gondii network 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;TGME49-201785;TGME49-201786;TGME49-201787;TGME49-201788;TGME49-201789;TGME49-201790;TGME49-201791;TGME49-201792;TGME49-201793;TGME49-201794;TGME49-201795;TGME49-201796;TGME49-201797;TGME49-201798;TGME49-201799;TGME49-201800;TGME49-201801;TGME49-201802;TGME49-201803;TGME49-201804;TGME49-201805;TGME49-201806;TGME49-201807;TGME49-201808;TGME49-201809;TGME49-201810;TGME49-201811;TGME49-201812;TGME49-201813;TGME49-201814;TGME49-201815;TGME49-201816;TGME49-201817;TGME49-201818;TGME49-201819;TGME49-201820;TGME49-201821;TGME49-201822;TGME49-201823;TGME49-201824;TGME49-201825;TGME49-201826;TGME49-201827;TGME49-201828;TGME49-201829;TGME49-201830;TGME49-201831;TGME49-201832;TGME49-201833;TGME49-201834;TGME49-201835;TGME49-201836;TGME49-201837;TGME49-201838;TGME49-201839;TGME49-201840;TGME49-201841;TGME49-201842;TGME49-201843;TGME49-201844;TGME49-201845;TGME49-201846;TGME49-201847;TGME49-201848;TGME49-201849;TGME49-201850;TGME49-201851;TGME49-201852;TGME49-201853;TGME49-201854;TGME49-201855;TGME49-201856;TGME49-201857;TGME49-201858;TGME49-201859;TGME49-201860;TGME49-201861;TGME49-201862;TGME49-201863;TGME49-201864;TGME49-201865;TGME49-201866;TGME49-201867;TGME49-201868;TGME49-201869;TGME49-201870;TGME49-201871;TGME49-201872;TGME49-201873;TGME49-201874;TGME49-201875;TGME49-201876;TGME49-201877;TGME49-201878;TGME49-201879;TGME49-201880;TGME49-201881;TGME49-201882;TGME49-201883;TGME49-201884;TGME49-201885;TGME49-201886;TGME49-201887;TGME49-201888;TGME49-201889;TGME49-201890
TGME49-201785;1;-0.0901749211630057;-0.220131521649;-0.0951761889315747;-0.320772938257509;-0.129514954686594;0.123305660841571;-0.0621646493447487;-0.237141728932122;-0.379890826898762;-0.257064664959253;-0.209456298279974;-0.158988921922914;-0.0187540741245428;-0.182188604727878;-0.176707057545463;0.709411034693207;-0.215433994013205;-0.264585356985974;0.10221909214562;-0.257805101072066;-0.143693141848625;-0.0933587635344903;-0.247265956042151;-0.120732103551439;-0.178181413671712;-0.190169264326308;-0.231758809475196;-0.283902720755023;-0.173908565752249;-0.391294079346047;-0.146639133313139;-0.131708438023537;0.181626761489485;0.493987974627634;-0.108320694440163;-0.199475024966006;-0.0336740549959107;-0.174133881393916;-0.0658884135363756;-0.293361734268846;-0.148807496131744;-0.326964534070255;-0.231594349184272;-0.220120997214292;-0.199441721493471;-0.205535649258611;-0.252796994263014;-0.133842598578061;-0.185077516355439;-0.304685015522682;-0.108504833521612;-0.260898935918218;-0.260045758226343;-0.139525372988794;-0.107903539453332;-0.160186811393028;-0.00514359042834732;-0.0715317245675063;-0.0599417111338209;-0.158146050592007;-0.201630102734762;-0.241409931113457;-0.223158079311196;-0.275780446007127;-0.122281509322368;-0.0944561336208924;-0.219213448142968;-0.214508045526219;0.708675050079187;-0.187532726824579;-0.203729236004539;-0.0908743649581729;-0.225833396994031;0.190733335505157;-0.307424299138555;-0.20254049883663;-0.246606719389555;-0.121617816040894;-0.184745860274167;-0.238367126792689;-0.0479472175620763;-0.150899749898949;-0.14686072000053;-0.215319071528493;-0.00110934913479778;-0.224972588190156;-0.163525706123467;-0.207793848015928;-0.0369190325107384;-0.254616802574009;0.00674511594904568;-0.0364165125803382;0.125954869174841;0.0194362936933584;0.0496367865287649;0.0223168864232003;0.00983013435133544;0.122063114413731;0.0524103306944016;0.0136099277710499;0.00718182158543278;-0.000968770246660694;0.0349270045481636;0.0659678734684383;
TGME49-202680;-0.0901749211630057;1;0.0720306707346084;0.080003136161494;0.10671572373391;0.123127868964322;0.141934249875229;0.103109731374777;0.0745910127424711;0.160286501109629;0.0734086103355976;0.104330710955906;0.141678485313248;0.0332377848424963;0.101791283177197;0.00206318471592767;-0.116423839792363;0.0762350477108694;0.159799211408623;-0.0572711188066798;0.0777583249275088;0.172505039658013;0.114991956941967;0.140707013832381;0.0503808362674413;0.00636409643090258;0.0821376826742877;0.093516521327205;0.0849224090115578;0.0243852838875343;0.153548703317592;0.0932029856862018;0.0328132367156858;-0.0277106633799117;-0.0904742797917535;0.107305099419543;0.0714987451948678;0.0867415760098674;0.164670031670549;0.036634692472788;0.150628133320028;-0.00454831777070433;0.113888565139936;0.0572524560519198;0.0486415724096225;0.118918533000627;0.00536703731907604;0.0582358312811092;0.0541561876487448;0.0707462775831969;0.13598253575452;0.0069769994493836;0.162767480681073;0.1620210490759;0.0105390173246593;0.0527191964688897;0.0566577529953212;-0.02870695998353;0.0279277632726183;0.169171221261241;0.0540754828205837;0.0409217599923305;0.141742482498374;0.115043836531494;0.135023800879865;0.129952073094213;0.092790690104715;0.0494437006455699;0.0631946968852203;-0.0786866967270315;0.0594248452132327;0.139360046047436;0.0694362272032397;0.0889960785256842;0.004995966434204;0.100863680487019;0.0537220470774258;0.100359330599122;0.0579460087462603;0.0818153799885586;0.142888058830803;0.0361354992433031;-0.0343422481313445;0.108055255921378;0.0101338092559402;-0.0287761842866887;0.0669849692017379;0.0782612993004916;0.110928194662146;-0.0593193816089073;0.121848280090687;0.0246312001816849;0.0101509228601369;-0.00409923286059702;0.063386098855352;0.0645433014109832;0.0621111708211939;0.0808257384729496;0.0603203300431305;0.126935265315793;-0.0298804170885518;0.0344951697032553;-0.0264678692953993;0.0448459557639571;-0.0103320404753267;
TGME49-204020::RPL8;-0.220131521649;0.0720306707346084;1;0.457126345104067;0.569954185935182;0.481818851459771;0.206339043220388;0.14804434430814;0.530167910169873;0.240583101749179;0.551235436031356;0.594775138100149;0.527632136456382;0.0121872065261266;0.575301593782048;0.46493239168335;-0.213192565024005;0.384335280227203;0.491118839897251;0.0238371014360855;0.527483528893727;0.525125446177252;0.0616151858785872;0.453633340840754;0.492996034113827;0.542592787674678;0.344367926665189;0.521961191276036;0.541225651663389;0.536807122153792;0.262278468445642;0.546360681446153;0.432600289307328;-0.39005814324101;0.0226282842707066;0.396436729366197;0.498448551995389;0.134188362042258;0.482532148861501;0.493541612962864;0.492959208316299;0.523708730707656;0.532399831703182;0.549026613430793;0.333377144227952;0.461715124081117;0.456147828134352;0.528956788324137;0.157702589502845;0.572110164461819;0.587639278490177;0.493451471634948;0.555519875764356;0.41456999068126;0.472531877932633;0.469364409548343;0.495176774251581;0.00624189091644902;0.0215739130211047;0.454098657871553;0.531535850813468;0.553254389471791;0.227093480595744;0.5338599198498;0.51568135903874;0.501408787398555;0.511531616605967;0.488193204944425;0.495517120232996;-0.102298217338129;0.432611390419249;0.356274949598634;0.530272511082956;0.502556091390458;0.0879856403355637;0.274464303909873;0.509404949992353;0.500714960872457;0.00226242014971624;0.545166759262951;0.430582643440921;0.0117697746756075;0.0250770422668499;0.378600126635005;0.214474006468117;0.148549370116835;0.571865280966201;0.514464821753854;0.522054837642511;0.0448044167233105;0.401604090892875;0.0675800487686822;0.212543524933029;0.165084178398394;0.235136658099326;0.251079347741013;0.158693357719916;0.17925718289194;0.12978983648682;0.215031657359438;0.143614567616158;0.184856587148645;0.120485220400241;0.155251148939627;-0.0375657082376645;
TGME49-205340::RPS12;-0.0951761889315747;0.080003136161494;0.457126345104067;1;0.435006425097599;0.535093143511871;0.3937735250547;0.159943998133735;0.396505191941381;0.163577810255491;0.57744241271735;0.487712833735508;0.645887136944741;-0.0610996080248076;0.543284553138498;0.548982156557977;-0.0386370740632129;0.325862219551338;0.334974014016626;0.0568596283977167;0.647264837982267;0.596892112719769;-0.00737692183483367;0.296493566318972;0.539132604817133;0.484057655829957;0.244988068195521;0.650899491952679;0.355311284738186;0.598138836443546;0.0467306142949448;0.44596374969203;0.516300941876915;-0.449726472317539;0.107962444981487;0.251799076487706;0.549858128441754;0.359098085739592;0.536472929789097;0.539642060411055;0.516469789481596;0.563652363297496;0.590471793544542;0.456297807374204;0.220071489492166;0.455475114315266;0.433294413146654;0.46133443622679;0.0774215735316218;0.49136608779815;0.352759036873512;0.392449060328131;0.340843013476345;0.21846135546965;0.548600778643707;0.371973641361066;0.563246755077011;-0.0683902633925635;-0.0166491940584726;0.425437840155912;0.656737337125117;0.590758726622248;0.181967180513988;0.489574166023926;0.516975218536501;0.36799841911088;0.461293621869267;0.499188022719987;0.553355752045944;-0.0354895247899428;0.406558699515166;-0.0122411781362694;0.657229066110278;0.482269994543231;0.0847659066888225;0.0080255623793839;0.42698732652081;0.390251197066375;-0.0854696871552573;0.635048842068665;0.331510747751389;-0.0129424659338457;-0.0937183761561942;0.603605931529404;0.0219150077166532;0.048601699589457;0.386835878423121;0.534146048458522;0.479332969342508;-0.0394573191242478;0.252672477419414;0.360684867492164;0.535248547924543;0.401497735873458;0.508597970125415;0.596851498126713;0.393224697713565;0.393813697901587;0.430685482885694;0.493172484854645;0.496536825356861;0.523563077377661;0.457078770377199;0.534521112064088;0.0988716170659607;
TGME49-207440::RPS4;-0.320772938257509;0.10671572373391;0.569954185935182;0.435006425097599;1;0.444939278098788;0.244771664328804;0.198206690956397;0.568672253832091;0.251307924909331;0.563148866136382;0.579453202667114;0.586666421025267;-0.0137067300304313;0.568486602286295;0.495495143762749;-0.345959173992409;0.477770396086234;0.565541352790895;0.115808489774426;0.494312865027582;0.44272247705454;0.0550461715319511;0.52166965120797;0.490405109365529;0.579540796310699;0.494057703192396;0.521619528798589;0.513555603504166;0.470363422743701;0.33772498944469;0.477542093938238;0.486610857351715;-0.415672975511378;-0.0625304313152188;0.452274204374676;0.509666269803776;0.188907093987967;0.461386397677745;0.449656273233029;0.440396217090623;0.479809480050823;0.523157272441372;0.574471191479759;0.411747268577373;0.466108539174439;0.554673402993033;0.597396618718861;0.188757740871942;0.521720369005034;0.594440721398414;0.451605321655447;0.580462854681993;0.507107402502898;0.500425205223227;0.506049127875936;0.580071008405486;0.0231018205034013;-0.00463698718670303;0.450679926314428;0.530629279350324;0.575864759065153;0.284949172899817;0.566587458570822;0.508838269261274;0.450642492223531;0.501479152720452;0.548910120374551;0.494782320294278;-0.230473584957059;0.4463331421168;0.46100937029309;0.470298697057356;0.518092571537397;-0.000459633915788717;0.431378003323228;0.47123458749767;0.552254212146438;-0.0334605074740521;0.590691339798077;0.537062883625267;-0.00901780553327561;0.0520996616475187;0.387667002627455;0.284042947389434;0.109283393688384;0.568945896342772;0.429857029710692;0.470905120435024;0.0806233254561937;0.472413303217659;0.0607699431827166;0.252638678508947;0.16965096530699;0.21837769580754;0.199036669078905;0.109634331039843;0.139998072956247;0.0974114857504433;0.167666866742169;0.145233200675585;0.161879331489169;0.159616972706846;0.143195825445676;-0.0546150303675841;
TGME49-209290::RPS28;-0.129514954686594;0.123127868964322;0.481818851459771;0.535093143511871;0.444939278098788;0.999999999999999;0.228375713574193;0.186026122068349;0.424895465412927;0.264834376575095;0.52830375162247;0.474331963025198;0.537226841947244;-0.102823480830598;0.531228974760815;0.40807152005335;-0.126637953869551;0.319780497952407;0.392660978101044;0.0556255196056598;0.487353931456651;0.5851835828683;-0.0399153201265695;0.26572727273642;0.437048150933799;0.480626489136608;0.266402693042745;0.487981877965394;0.386822667382134;0.450364842306688;0.23094556739831;0.412696657266042;0.450345354113558;-0.347760544798682;-0.0243505654332894;0.298003002304373;0.462771997669535;0.212693179885216;0.442448598634408;0.489095713352355;0.547177343994828;0.438348677641705;0.575487502040194;0.427412462219958;0.209819371136256;0.362822242098854;0.329238623665978;0.3930632144533;0.103896514254911;0.440298296343282;0.341839539513187;0.434779450965824;0.41744424802462;0.322259081344427;0.508835550209584;0.340855575367539;0.492576775353374;-0.0304810719137608;-0.0379536125603682;0.295263374480266;0.565890063328996;0.444778796000592;0.231518108772284;0.505023713402484;0.467402242142502;0.43646623702279;0.527452604278619;0.461569314057956;0.476102220326534;-0.154117201857259;0.315709933574175;0.114824873139955;0.472173706911425;0.443508196324242;0.0580686090516491;0.0923084987912087;0.442223502158173;0.41529604406919;-0.0947283868088837;0.501946716470625;0.37265224890848;-0.0436302872825461;-0.077515827739777;0.456910273125074;0.114877614677846;0.0308773903288452;0.438175127868852;0.526146635488845;0.472048626910151;-0.0131081163095958;0.371112156569579;0.188163158728355;0.290965080720487;0.245102582287472;0.305282496091599;0.384123761621159;0.260935080756248;0.258315024249061;0.2553377967769;0.314241446353299;0.217475414990285;0.298856929646292;0.243763013734619;0.284004814085554;0.00837170518978802;
TGME49-209850;0.123305660841571;0.141934249875229;0.206339043220388;0.3937735250547;0.244771664328804;0.228375713574193;1;0.133788192201306;0.160613668748287;0.0508951954984314;0.23937993973714;0.220436337084521;0.364457235533196;-0.0403204884157911;0.287379826910759;0.272058587264992;0.0795516292209639;0.187240507778208;0.218720259673876;0.0507624821284976;0.258874803313773;0.283030366392539;-0.0185543364258713;0.22322215231702;0.241885855703649;0.231239264271857;0.104781462102164;0.355536958244255;0.17312873916259;0.269850910743905;-0.143072761834826;0.255926314506808;0.240015519504841;-0.311423828730964;0.1825843432931;0.152418243810887;0.251086673606798;0.185477284854549;0.289109297185508;0.249878872321337;0.232495514421403;0.246644118708212;0.209648291518659;0.250005612015696;0.133451804953884;0.163068792969886;0.187874631772817;0.209423010402131;-0.0312414013845986;0.255276336221158;0.177355271664481;0.235226837908864;0.172151874310941;0.154895137891326;0.186214577529867;0.229723909814092;0.247525022746466;-0.0434288305982374;-0.0383818435425302;0.290219625746944;0.2772192222082;0.234608782665565;0.150625648998461;0.270110858299693;0.231974433726968;0.213946582295788;0.207206070964105;0.24123347608902;0.257326923662109;0.156675061092313;0.250850178951819;0.0272822381091909;0.302603522385035;0.266558715191147;0.15801525692346;0.0214024277076414;0.173259185268364;0.138448607282865;0.000352748900468739;0.317616800474221;0.193851133476725;-0.0175753896886803;-0.0848490690027696;0.280758069889153;0.0228913424359812;-0.0376778497316826;0.175515779305127;0.215671804548592;0.23263195856675;-0.0234284530690529;0.209623549836049;0.206273660226096;0.259400524319009;0.209828018101294;0.23624286117133;0.330664142171869;0.221002351033949;0.248255498039312;0.295075180150445;0.282306831333485;0.224480942691629;0.269968089055243;0.161795786494364;0.243210699851007;0.0943678620711265;
TGME49-209950;-0.0621646493447487;0.103109731374777;0.14804434430814;0.159943998133735;0.198206690956397;0.186026122068349;0.133788192201306;1;0.158788079572759;0.150512611181031;0.0858539751099509;0.185237770732339;0.195592767335349;0.0220016742799615;0.16736780700085;0.0738101609879333;-0.0990711053687773;0.256386710048977;0.160557841101235;0.00470055465912175;0.13929824064199;0.138664963597075;-0.000909846111147368;0.144406040298177;0.126829660102653;0.146892293416981;0.159298078891978;0.213406739482668;0.118068711892276;0.0689753178444866;0.18128486567188;0.139782620813052;0.147203119528965;-0.230912700797716;-0.0343153193369112;0.0454752274121746;0.155040041542562;0.10534347368922;0.152358630421125;0.107869781405041;0.104672076002472;0.191762393922914;0.0794085130216324;0.0825000723186307;0.0889955071378465;0.192443842242206;0.17948083596645;0.18106894072229;0.0865721331175284;0.172501944145128;0.177719431098638;0.147979276101044;0.23370852303043;0.157631060786715;0.109670515515658;0.131103745542414;0.149240539614263;-0.0112378113246534;-0.0340161416575412;0.336363821654418;0.116563880175204;0.180834612602369;0.167474581872977;0.198465785801661;0.231934657246888;0.0915031967264846;0.14342423204909;0.183816369738594;0.220722461713165;-0.0625918377085613;0.253856683643013;0.108968527449702;0.0804525585896141;0.125316682126104;0.0625192183343219;0.140783499458203;0.114961291297212;0.198255157427372;0.0327797790983366;0.181215554944144;0.167835128875867;-0.0242423744731132;0.0682100968564482;0.223597610501299;0.0338622019172615;0.0492649677289279;0.205445852025011;0.22247609268326;0.0673209068625675;0.069193448442808;0.172884421335865;0.0436699817551571;0.105828404034972;0.141661237307046;0.122386191227894;0.206530258704703;0.143033801900037;0.146664184449591;0.224033473663555;0.122106152392752;0.0256533379467846;0.153943034798111;0.0259140087302517;0.11316730871519;0.113402684686232;
TGME49-210690::RPS6;-0.237141728932122;0.0745910127424711;0.530167910169873;0.396505191941381;0.568672253832091;0.424895465412927;0.160613668748287;0.158788079572759;1;0.18654712274799;0.585628327827834;0.572306197564963;0.518070195447705;0.0740895984286659;0.56842103725514;0.43408610129133;-0.196925821325857;0.468014689862021;0.535642824955539;0.0853811490037061;0.372905196194706;0.467611395567563;0.118853762007379;0.471029657352926;0.508681165691383;0.623884275782116;0.390116719953326;0.491195085871346;0.402474362126412;0.501892033718945;0.288440726758708;0.493617107699277;0.509166001699089;-0.420593136485718;-0.0631055098777498;0.45068169785683;0.564621234959247;0.226386438234108;0.360492365392266;0.432786628679561;0.468880784518102;0.443264233264382;0.491965226814725;0.46493573054008;0.281182516222051;0.39529316781305;0.434321192723494;0.450078510652502;0.227449783810132;0.480432964596926;0.517706446509756;0.433399572963894;0.489876608221914;0.424485711193565;0.457875888415848;0.488100129196209;0.466664097469495;0.0206419960514427;0.0559443815659162;0.311383708257938;0.484094132750111;0.533225547295554;0.287655379440546;0.565195490595644;0.452872676853105;0.462827467386623;0.463140986801925;0.524146300050874;0.512867197069271;-0.152727564099763;0.468027775106296;0.382677455360232;0.433179539357429;0.52187131339443;-0.0755115106770413;0.329347261952007;0.449868781147901;0.546169842997291;-0.0510945667575574;0.515296193349498;0.548202377769412;0.0385090507491748;0.0221753485131742;0.380028118655976;0.266942471576252;0.11025166258315;0.58216554837063;0.486339380907516;0.521857027568205;-0.0387788351913775;0.524754347532665;0.0192749664344385;0.138986804065172;0.100360320129495;0.106875712415505;0.194534076617187;0.114198967029833;0.197212755838509;0.0687445870368866;0.174545539083806;0.0876088935152951;0.14082864139264;0.0914501003662228;0.114034724666941;-0.112462360991121;
TGME49-211040;-0.379890826898762;0.160286501109629;0.240583101749179;0.163577810255491;0.251307924909331;0.264834376575095;0.0508951954984314;0.150512611181031;0.18654712274799;1;0.24611099824642;0.206166741029921;0.233659681220638;0.00450593121529317;0.308193482503049;0.126632707163008;-0.318085642805852;0.138456493834045;0.175581916738723;-0.114966396352131;0.301878786331286;0.249182648559883;0.0477617526361509;0.189439258086637;0.232381664370974;0.235543492369029;0.204502165779849;0.204013220643452;0.302567183780619;0.34395977444027;0.305079610193713;0.190577121897901;0.216761728444273;-0.187533878506242;-0.178418302746498;0.158646392526169;0.217857341962529;0.08747960635133;0.235043695416344;0.145242023777054;0.331979100654956;0.293759048483468;0.363871159499769;0.265396885474044;0.176924947238743;0.167824456361763;0.131618188015661;0.221115316564527;0.112778574227381;0.200688917323144;0.229424374875731;0.202288037913866;0.337295876875957;0.257024957964738;0.186469730229864;0.144195915910997;0.278073927840322;-0.018645905717663;0.0257456602776611;0.157425338024528;0.247400782440007;0.194962600690406;0.269771800927872;0.276356099915706;0.289983310011124;0.14960919189493;0.238728453509803;0.251588372586112;0.22599102647859;-0.371714350782003;0.218609669972189;0.0209928009779456;0.19308838336709;0.207658129698323;-0.049379255744563;0.0718523284097223;0.260876876598378;0.241949346324223;0.0557155242998567;0.208541545756029;0.257354483219;0.0147782519464599;0.05359055299174;0.264148672542207;0.194697005270635;0.0458682455096942;0.25883511029732;0.285847345970358;0.197606779819977;0.04390115995824;0.204202046551506;0.0459985531294014;0.171312305995668;0.0945206767641459;0.121854493054179;0.160642289937897;0.181760841032132;0.107121597278597;0.0974129722228353;0.103208996349869;0.104707689528983;0.164949079371215;0.136129405572029;0.130709320231898;-0.0376486858453834;
