p_val;avg_log2FC;pct.1;pct.2;p_val_adj;cluster;gene
3.34284259493969e-27;2.52798236642898;1;0.887;2.53955751937569e-23;Tg 4;TGME49-258870
2.17791188161118e-25;2.02536981231195;1;0.989;1.65455965646002e-21;Tg 4;TGME49-220950
1.15861224669573e-23;1.85337328246063;0.683;0.131;8.80197723814745e-20;Tg 4;TGME49-264260
2.13713339239093e-22;2.44443900831087;0.95;0.521;1.62358023819939e-18;Tg 4;TGME49-289350
1.76873452490887e-21;2.52766984717541;0.967;0.603;1.34370761857327e-17;Tg 4;TGME49-222070
7.9987204019937e-20;1.00361775685937;1;0.961;6.07662788939461e-16;Tg 4;TGME49-227280
4.21664990327335e-19;2.78138645213409;0.867;0.436;3.20338893151677e-15;Tg 4;TGME49-266640
2.71469904349856e-18;1.75157828284786;1;0.652;2.06235686334586e-14;Tg 4;TGME49-216680
1.75895450228433e-17;1.63363517699978;0.967;0.872;1.33627773538541e-13;Tg 4;TGME49-275860
3.33494235597105e-17;1.56188701972774;0.983;0.936;2.53355570783121e-13;Tg 4;TGME49-280380
2.62892050016889e-16;2.58686783393399;0.833;0.479;1.9971909039783e-12;Tg 4;TGME49-231960
1.14378432919914e-15;2.2581848966969;0.917;0.706;8.68932954892583e-12;Tg 4;TGME49-234380
1.37039001490823e-15;1.53501961825069;0.983;0.667;1.04108529432578e-11;Tg 4;TGME49-307770
4.30753806971437e-15;1.11560562219618;1;0.996;3.27243667156201e-11;Tg 4;TGME49-201390
6.36616544454128e-15;1.64989627894928;0.917;0.77;4.83637588821801e-11;Tg 4;TGME49-201780
1.70253610030037e-14;2.69224612350049;0.733;0.365;1.29341667539819e-10;Tg 4;TGME49-250100
2.96442736099805e-14;1.27680716308183;0.967;0.848;2.25207546615022e-10;Tg 4;TGME49-277080
1.2725960746905e-13;1.60364307599118;0.633;0.209;9.66791237942377e-10;Tg 4;TGME49-268230
2.79576391084485e-13;1.22458735118767;0.983;0.922;2.12394184306883e-09;Tg 4;TGME49-214940
5.44057105638667e-13;2.09618491564884;0.783;0.44;4.13320183153696e-09;Tg 4;TGME49-313440
5.8423169410067e-13;1.87041520671542;0.667;0.28;4.43840818008279e-09;Tg 4;TGME49-219240
7.75473228767946e-13;1.4458150000579;0.917;0.879;5.89127011895009e-09;Tg 4;TGME49-207400
9.49393337426789e-13;2.60371730206281;0.667;0.312;7.21254118443132e-09;Tg 4;TGME49-219230
1.18179582431184e-12;1.80749274892162;0.85;0.578;8.97810287729709e-09;Tg 4;TGME49-257670
1.83606370260676e-12;1.59879549285961;0.967;0.862;1.39485759487035e-08;Tg 4;TGME49-299780
5.09864789516253e-12;1.4615911251896;0.983;0.887;3.87344280595497e-08;Tg 4;TGME49-225120
7.35517731897278e-12;1.46123480773309;0.95;0.826;5.58772820922362e-08;Tg 4;TGME49-240060
8.47070457446536e-12;2.13624442508354;0.5;0.145;6.43519426522134e-08;Tg 4;TGME49-279350
1.18443057473333e-11;1.48801159553333;0.9;0.73;8.99811907624911e-08;Tg 4;TGME49-292960
1.51849684864997e-11;1.18243835161029;0.967;0.887;1.15360205591938e-07;Tg 4;TGME49-255260
2.30314467742181e-11;2.05681092139086;0.767;0.411;1.74969901143735e-07;Tg 4;TGME49-207750
2.35508451872978e-11;1.32644945680298;0.917;0.872;1.78915770887901e-07;Tg 4;TGME49-254470
2.49515362733829e-11;1.20717734833257;0.95;0.89;1.8955682106889e-07;Tg 4;TGME49-213050
3.62920294336083e-11;1.5033776254701;0.95;0.805;2.75710547607122e-07;Tg 4;TGME49-304955
5.16783852758844e-11;1.03742950944105;0.983;0.915;3.92600692940894e-07;Tg 4;TGME49-237230
2.24852441157163e-10;1.24782056396128;0.95;0.826;1.70820399547097e-06;Tg 4;TGME49-244530
2.39018532432862e-10;1.34352134613984;0.783;0.5;1.81582379089245e-06;Tg 4;TGME49-233500
3.41901545718724e-10;1.08754261382783;0.967;0.908;2.59742604282515e-06;Tg 4;TGME49-204050
7.66216932215437e-10;1.01068433748695;0.983;0.819;5.82095003404067e-06;Tg 4;TGME49-320490
3.94433495903952e-09;1.26218446698458;0.933;0.869;2.99651126838233e-05;Tg 4;TGME49-316250
4.45592847453817e-09;1.62090151539807;0.917;0.798;3.38516886210665e-05;Tg 4;TGME49-288360
6.53441460073781e-09;1.96664865115659;0.617;0.312;4.96419477218051e-05;Tg 4;TGME49-213445
7.70067524389686e-09;1.12070606407435;0.95;0.84;5.85020298278845e-05;Tg 4;TGME49-208450
1.05160306157199e-08;1.74723392962003;0.667;0.365;7.98902845876242e-05;Tg 4;TGME49-311460
2.06739044909577e-08;1.43844554808776;0.717;0.457;0.000157059652417806;Tg 4;TGME49-216770
4.24554966162794e-08;1.10947599330597;0.933;0.773;0.000322534407793875;Tg 4;TGME49-206510
4.42066684330167e-08;1.99103965747233;0.65;0.408;0.000335838060085628;Tg 4;TGME49-245432
5.74522685245537e-08;2.05490376558955;0.683;0.44;0.000436464883981035;Tg 4;TGME49-228160
1.19850607680841e-07;1.07278942001189;0.5;0.206;0.000910505066551348;Tg 4;TGME49-299015
3.11380066033807e-07;1.37180050469241;0.55;0.262;0.00236555436165884;Tg 4;TGME49-298060
3.86081114666843e-07;1.10608026022513;0.883;0.741;0.002933058228124;Tg 4;TGME49-304500
7.46739262975555e-07;1.70882331076567;0.417;0.16;0.00567297818082529;Tg 4;TGME49-295440
1.0246746659619e-06;1.91184714248432;0.417;0.167;0.00778445343731255;Tg 4;TGME49-268225
1.62869954004931e-06;1.34749634865332;0.467;0.22;0.0123732304057546;Tg 4;TGME49-296231
1.74078821426717e-06;1.18250408181812;0.417;0.177;0.0132247680637877;Tg 4;TGME49-250955
2.54903583422028e-06;1.09457184246997;0.367;0.128;0.0193650252325715;Tg 4;TGME49-225680
2.6976516739328e-06;1.12736636656966;0.883;0.791;0.0204940597668675;Tg 4;TGME49-289620
3.6841135576529e-06;1.1569964868582;0.383;0.149;0.0279882106974891;Tg 4;TGME49-217020
4.08366556559586e-06;1.7839441638386;0.517;0.284;0.0310236073018317;Tg 4;TGME49-200350
2.59994036260844e-36;3.79417654319397;0.865;0.114;1.97517469347363e-32;Tg 5;TGME49-255450
8.14816017068244e-33;3.19208761038859;0.788;0.097;6.19015728166745e-29;Tg 5;TGME49-320030
3.52992075761395e-32;3.64342047227152;0.923;0.193;2.68168079955931e-28;Tg 5;TGME49-313780
5.49677729440566e-31;3.87615431925882;0.885;0.193;4.17590171055998e-27;Tg 5;TGME49-212770
8.30666960854124e-31;3.7581374060042;0.981;0.3;6.31057690160878e-27;Tg 5;TGME49-235690
2.2621954787541e-30;3.90114649240287;1;0.421;1.71858990520949e-26;Tg 5;TGME49-231630
4.05708929650474e-30;4.04872778984755;0.981;0.379;3.08217073855465e-26;Tg 5;TGME49-230210
7.23237960327154e-30;4.08396845882784;0.885;0.214;5.49443878460539e-26;Tg 5;TGME49-264990
8.79035104281941e-30;3.75036589548061;0.827;0.138;6.6780296872299e-26;Tg 5;TGME49-225690
2.01123734629402e-29;3.95967104529425;0.942;0.314;1.52793701197957e-25;Tg 5;TGME49-220270
2.68372409286867e-29;4.08185575131022;0.962;0.379;2.03882519335233e-25;Tg 5;TGME49-216000
4.42717055576399e-29;3.11108196589382;0.885;0.193;3.3633214712139e-25;Tg 5;TGME49-222350
2.76419181598059e-28;3.49063867959195;0.865;0.197;2.09995652260045e-24;Tg 5;TGME49-214880
3.71802045336696e-28;3.52488395737484;0.827;0.169;2.82458013842288e-24;Tg 5;TGME49-281960
6.0741830122584e-28;3.57108846041354;1;0.552;4.61455683441271e-24;Tg 5;TGME49-202500
1.14819646023125e-27;3.02868406788881;1;0.4;8.72284850837681e-24;Tg 5;TGME49-294790
4.91979740956285e-27;3.14361826935548;0.981;0.462;3.7375700920449e-23;Tg 5;TGME49-220900
9.63096538256229e-27;3.89799947714211;0.692;0.1;7.31664440113257e-23;Tg 5;TGME49-289910
1.07265030521665e-26;3.07344874595243;0.75;0.121;8.14892436873089e-23;Tg 5;TGME49-226040
2.06575145697743e-26;3.13271922976306;0.942;0.321;1.56935138186575e-22;Tg 5;TGME49-301420
3.21638455172591e-26;3.39882994728869;0.731;0.117;2.44348734394617e-22;Tg 5;TGME49-320515
3.63474147977619e-26;4.09818542074894;0.942;0.403;2.76131310218597e-22;Tg 5;TGME49-231640
3.73592094455593e-26;2.82313098870849;1;0.448;2.83817914157914e-22;Tg 5;TGME49-231160
4.58857271061719e-26;3.45196992721486;0.923;0.279;3.48593868825588e-22;Tg 5;TGME49-243200
6.41918471591485e-26;2.86751254808301;0.731;0.128;4.87665462868051e-22;Tg 5;TGME49-310230
8.27170740472889e-26;3.66401698211764;0.75;0.134;6.28401611537254e-22;Tg 5;TGME49-286590
8.77166460978247e-26;3.10037703269167;1;0.779;6.66383360405174e-22;Tg 5;TGME49-219320
1.10008665415316e-25;3.68300276595897;0.904;0.272;8.35735831160158e-22;Tg 5;TGME49-235370
1.19454659694915e-25;4.23125518053403;0.904;0.345;9.0749704970227e-22;Tg 5;TGME49-313380
1.682590031768e-25;1.56583765794508;1;0.993;1.27826364713415e-21;Tg 5;TGME49-209030
2.03838424023771e-25;3.98951213757985;0.654;0.09;1.54856050730859e-21;Tg 5;TGME49-248445
2.86231018799108e-25;3.57611454040735;0.885;0.279;2.17449704981682e-21;Tg 5;TGME49-256030
3.10154828203283e-25;3.60603630071023;0.712;0.121;2.35624622986034e-21;Tg 5;TGME49-293720
5.03175770577245e-25;3.25017178755174;1;0.745;3.82262632907533e-21;Tg 5;TGME49-271970
6.31528896166981e-25;3.28095059865539;0.827;0.197;4.79772502418056e-21;Tg 5;TGME49-266300
7.04904986271066e-25;3.03404976975663;0.962;0.428;5.35516318070129e-21;Tg 5;TGME49-291960
1.16419004690929e-24;3.62306022550269;0.846;0.238;8.84435178636984e-21;Tg 5;TGME49-203990
1.30074138794738e-24;3.16195401470826;0.962;0.376;9.88173232423621e-21;Tg 5;TGME49-227810
1.32197272408371e-24;2.7729356739216;0.885;0.241;1.00430267848639e-20;Tg 5;TGME49-243250
1.46929295812606e-24;3.31174192613578;0.981;0.372;1.11622186028837e-20;Tg 5;TGME49-214080
2.18330230766501e-24;3.11822835296165;0.635;0.083;1.65865476313311e-20;Tg 5;TGME49-230970
2.55708663302975e-24;2.96757033334241;1;0.521;1.9426187151127e-20;Tg 5;TGME49-221620
2.90564323613535e-24;3.17202022650547;1;0.745;2.20741716649203e-20;Tg 5;TGME49-219270
