"gene","baseMean","log2FoldChange","pvalue","padj","avg_cpm"
"Ifi203",93.3582036899325,2.6715843700856,2.4674453833637e-08,3.98629509712314e-06,566.059222314436
"Rtp4",110.193432522615,2.39064701200073,1.90701094010942e-09,9.24264635639698e-07,666.40895708554
"Stat1",66.6138871871823,2.10672709700013,1.7292943591442e-07,2.28581272563242e-05,405.285036593723
"Oasl2",197.215912889078,2.04468071601136,1.62086278187476e-09,9.24264635639698e-07,1187.0399772584
"Pyhin1",169.669995519362,1.95008469829964,2.44239408849752e-08,3.98629509712314e-06,1024.27159743739
"Stat2",75.2612190356924,1.87351493265512,1.69965602642211e-07,2.28581272563242e-05,457.100154169895
"Ifit3",305.479609463459,1.87045593580695,1.09265890302969e-08,3.17745209001033e-06,1852.88451348172
"Sp110",90.5129819807483,1.8542190750081,5.60681129188764e-07,6.79358634867052e-05,547.446641411839
"Parp14",171.314526602148,1.65861138157575,1.9774894213338e-08,3.98629509712314e-06,1036.22220859965
"Ifi204",230.69929135242,1.47155930450514,1.75936273801861e-10,2.55811342107905e-07,1395.94065603714
"Trim30a",150.987395729334,1.35862903020061,1.78699730576158e-06,0.000185592434469809,912.992160559241
"Pnp",364.520643340197,1.26516429130707,2.64397518501202e-09,9.61084979751868e-07,2204.48384935312
"Ifit1",626.240877904207,1.10846052177986,8.96530718732608e-06,0.000869037110024808,3766.92042554447
"Mx1",648.317408543174,1.0987720614069,2.10614208771832e-08,3.98629509712314e-06,3915.60366714834
"Slfn5",180.165439056161,1.05056845286218,1.1344739502854e-06,0.000126886547978075,1092.11734675071
