"gene","baseMean","log2FoldChange","pvalue","padj","avg_cpm"
"Slco3a1",52.1893888986165,5.50307869640082,3.75051553075911e-06,0.000129040663174022,313.372421840096
"Ccl17",22.2417100289126,5.21462899329868,1.41217481600499e-05,0.000407565032062391,134.855478702246
"Cxcl3",377.094365945261,4.88204198276654,3.47851013922295e-63,4.5678635644896e-60,2319.67528073641
"Saa3",675.017306760729,4.76905140438391,2.29159716018727e-82,9.02774701255776e-79,4100.91320982668
"Cav1",89.6008716717567,4.72544520837533,2.2711256516772e-25,6.62748111465358e-23,543.287457995981
"Cxcl1",98.7610833855435,4.67518901224046,7.77537028976558e-28,2.78464284150286e-25,596.728647478226
"Il1b",749.307226187987,4.58248944526622,8.9506383559539e-122,7.05220796065607e-118,4516.12838379105
"Cxcl2",615.257966602051,4.13814215572846,6.48628514182995e-67,1.27763601581195e-63,3724.2085212408
"Osbpl3",13.2834382497372,4.03366123319406,8.72302249385332e-08,4.14028278488375e-06,81.4615783007186
"Lcn2",57.5924925172892,4.0071111493952,1.14987979394803e-20,2.10695416198059e-18,349.057508687224
"Wdr92",42.6542658303294,3.99952373463315,1.60500417470075e-09,1.09015757693683e-07,258.696026331915
"Gpd2",26.664426709899,3.93282155216596,4.76151977188233e-06,0.000157630312112021,161.410222877826
"Marco",259.869885609712,3.79381608855334,9.1828164615392e-46,6.57740099095158e-43,1589.29773060826
"Gpr84",50.8130400435574,3.60593969072398,8.94617235892442e-17,1.3299413587918e-14,309.981131966843
"Slc7a2",261.701578443036,3.55257031686032,5.87105997182482e-45,3.85484012650065e-42,1577.2003738329
"Acpp",53.965153848977,3.43749045917202,9.91416018235164e-15,1.10019250812322e-12,325.697845263032
"Il1a",425.115095044403,3.34581466480005,8.75796666342288e-46,6.57740099095158e-43,2543.33411744181
"Ptges",18.7733222117673,3.29547641102795,1.52891754257935e-06,5.65555930421723e-05,113.094206414062
"Clec4e",423.232262624096,3.20938896188813,7.28449720351871e-78,1.91315178221746e-74,2567.58030946795
"Il6",344.616954464999,3.20554707258615,5.59671707312113e-29,2.09983494376768e-26,2043.42185071067
"Ptgs2",82.8824161831944,3.15579544625277,4.01839466750295e-06,0.000137060309892882,493.074685974712
"Tnf",1583.7790662543,3.10175420032755,2.15779254837954e-58,2.42874964124035e-55,9474.84600957582
"Cd38",74.7371891083887,3.06786536971836,1.49001532114292e-19,2.66814334438297e-17,452.918485739268
"Ms4a6c",77.6642503661346,3.01543925650413,3.30613344781182e-11,2.86253026761641e-09,470.307905650917
"Clmp",30.8549321335947,2.99773956450377,1.42553777723783e-06,5.32313371888949e-05,186.101965978468
"Nfkbiz",44.717292997181,2.92607794961539,1.48941494372766e-09,1.02939476680967e-07,269.687133765108
"H2-M2",146.239848664328,2.90406579287403,4.81256266954389e-27,1.51672725093345e-24,884.930288874557
"Rhoq",11.5630123135469,2.90363376244787,4.56098918338659e-08,2.33350868674695e-06,71.3129815202073
"Tma16",44.623298350585,2.87042771784727,9.44782510292209e-08,4.40469905242149e-06,270.162250962995
"Ccl3",1197.45065616474,2.85826301986034,2.36600252978889e-49,2.07130377024519e-46,7147.4273003948
"Socs3",75.6455273221949,2.80897727018523,1.15962270204858e-11,1.0501916401656e-09,455.299901935031
"Ms4a6d",152.817727842238,2.80330548442373,1.58816232561807e-21,3.12828274088619e-19,925.551712911549
"Acsl1",183.680758496369,2.77560672629937,2.36115538280245e-25,6.64412259325019e-23,1106.42816535915
"Fpr2",98.5318153239206,2.77024972374829,7.2047054269086e-21,1.35156842996697e-18,596.414155748015
"Slc7a11",75.9919603241695,2.76579042087489,6.55181582831933e-23,1.43393769198133e-20,464.907806912384
"Ccl22",141.952214825044,2.67767991738367,2.06979273087745e-23,4.65939912188099e-21,858.210124563173
"Ccdc71l",19.5773838701961,2.6286813515953,1.91251147644163e-06,6.91223757930441e-05,119.443334001163
"Tnfsf15",157.66487887193,2.61126028392924,4.23181661034286e-08,2.19358441269022e-06,936.635241318123
"Itgal",55.4896147463876,2.58500754619616,4.76031691887936e-16,6.69759589354473e-14,337.628144819579
"Sod2",337.272639756318,2.541381951782,1.56550084126281e-63,2.46691622566193e-60,2044.14361695334
"Fpr1",72.0170744538252,2.51161962763028,1.61424031266699e-17,2.49384302421632e-15,436.416616607009
"Cd14",176.124178553342,2.50232276935132,1.17862412444741e-36,5.15909970917843e-34,1068.55318295377
"Nlrp3",36.165093517376,2.49362407415194,4.21572490581386e-08,2.19358441269022e-06,218.575837557826
"Tlr2",55.7709750292992,2.40733474126983,4.08497722898694e-11,3.38795111444085e-09,337.863222620107
"Ptx3",270.280870106556,2.39773152359975,3.351291943993e-15,4.19124273440013e-13,1626.65413577838
"Irg1",604.189760731596,2.38982670293351,2.60160117910987e-44,1.5767704377082e-41,3643.52259088095
"Cpd",34.7250224280534,2.38651799290426,8.92020793852826e-10,6.33174039168145e-08,210.898043198962
"Cebpd",13.9541173534622,2.34665395797348,1.44303310080211e-05,0.000413442101862538,85.3971633091576
"Fam102b",41.8843607975404,2.30823866245543,4.53616293237178e-09,2.83654188445693e-07,254.07719518532
"AA467197",436.766189360688,2.26071283207473,3.4895896839007e-24,8.33165973316777e-22,2626.05510314027
"Zc3h12a",25.5529560778858,2.21532922974588,4.75973612277448e-07,1.95322713079896e-05,154.913091283112
"Malt1",50.5285755606029,2.2087057643241,5.05231018528961e-10,3.72029457475672e-08,306.389633596504
"Lmo4",56.566637340616,2.20087641960725,5.52284148248196e-16,7.50249448973713e-14,344.194241174958
