"gene","baseMean","log2FoldChange","pvalue","padj","avg_cpm"
"G530011O06Rik",33.6757509432416,4.90108255574232,1.40745775588272e-08,2.04081374602994e-06,204.086278275062
"Ero1l",17.8160173445923,3.82917806708816,9.8094793666421e-11,1.87956631435839e-08,109.95331930719
"Wdr92",42.6542658303294,3.28590534621471,9.43298599074151e-07,7.78584151389665e-05,258.696026331915
"Hilpda",28.1713484728137,3.06668691821226,3.4014933210202e-06,0.000231000147687005,170.411720683512
"Cxcl2",615.257966602051,2.84236040675445,4.79690742363603e-32,8.57846944260242e-29,3724.2085212408
"Olr1",29.1827674365072,2.69547109205332,8.56649109022977e-11,1.70219350737343e-08,179.343986679809
"Inhba",55.5618911499854,2.6898169034412,9.92172469180145e-07,8.0651595411386e-05,332.101303825646
"Clec4e",423.232262624096,2.67602753724381,1.7691904628659e-53,9.49170683327556e-50,2567.58030946795
"Prdx6",79.4950796731932,2.67548427541423,2.4545554427752e-28,3.29217248762224e-25,490.760773109801
"Cav1",89.6008716717567,2.57198734704835,3.84127775034068e-08,5.02645247087263e-06,543.287457995981
"Gdf15",10.5431271180156,2.56565425060322,8.74522706129104e-06,0.000527170148132881,64.5364259266238
"Hmox1",89.9286930959647,2.53106209783497,2.11029943939974e-21,1.8869594153966e-18,556.648454178075
"Tnf",1583.7790662543,2.51586752891661,1.21506731416108e-38,3.25941807023711e-35,9474.84600957582
"Procr",59.2601209690549,2.42932295845243,7.77423271453964e-10,1.30339870354704e-07,359.722609021614
"Jag1",21.3517448693151,2.42483687405491,2.82543129448792e-06,0.000201781741730177,130.039089936816
"Met",58.1043817642437,2.3205418550783,1.76384382872122e-11,3.78520885643574e-09,353.699927868066
"Ptgr1",7.66607762757844,2.27754127584122,2.96271277017554e-06,0.000206427974181712,47.7312767378011
"Cxcl3",377.094365945261,2.20217965255282,8.4142423335056e-14,2.65543588936809e-11,2319.67528073641
"Slc7a11",75.9919603241695,2.14882060287641,5.36758732292422e-14,1.91980706583256e-11,464.907806912384
"Dcbld2",32.7359897229143,2.05945931740413,1.45945782173295e-06,0.000115146929611725,198.64688117031
"Rgs2",23.3583535669283,-2.11120738246146,1.84839803342728e-09,2.91666336745217e-07,145.056536457233
