"Gene ID","source_id","Product Description","Gene Type","Input ID","Gene Name or Symbol","Computed GO Component IDs","Computed GO Components","Computed GO Function IDs","Computed GO Functions","Computed GO Process IDs","Computed GO Processes","Curated GO Component IDs","Curated GO Components","Curated GO Function IDs","Curated GO Functions","Curated GO Process IDs","Curated GO Processes"
"TGME49_200010","TGME49_200010-t26_1","hypothetical protein","protein coding gene","TGME49_000010","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_200360","TGME49_200360-t26_1","hypothetical protein","protein coding gene","TGME49_000360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_200410","TGME49_200410-t26_1","hypothetical protein","protein coding gene","TGME49_000410","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_200590","TGME49_200590-t26_1","Toxoplasma gondii family C protein","protein coding gene","TGME49_000590","N/A","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201130","TGME49_201130-t26_1","rhoptry kinase family protein ROP33","protein coding gene","TGME49_001130","ROP33","N/A","N/A","GO:0005524;GO:0004672","ATP binding;protein kinase activity","GO:0006468","protein phosphorylation","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201180","TGME49_201180-t26_1","hypothetical protein","protein coding gene","TGME49_001180","N/A","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201390","TGME49_201390-t26_1","hypothetical protein","protein coding gene","TGME49_001390","N/A","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201520","TGME49_201520-t26_1","protein phosphatase 2C domain-containing protein","protein coding gene","TGME49_001520","N/A","N/A","N/A","GO:0003824;GO:0004721;GO:0004722","catalytic activity;phosphoprotein phosphatase activity;protein serine/threonine phosphatase activity","GO:0006470","protein dephosphorylation","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201800","TGME49_201800-t26_1","hypothetical protein","protein coding gene","TGME49_001800","N/A","GO:0005623","obsolete cell","N/A","N/A","GO:0045454","cell redox homeostasis","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_202050","TGME49_202050-t26_1","hypothetical protein","protein coding gene","TGME49_002050","N/A","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_202080","TGME49_202080-t26_1","hypothetical protein","protein coding gene","TGME49_002080","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_202550","TGME49_202550-t26_1","NLI interacting factor family phosphatase","protein coding gene","TGME49_002550","N/A","N/A","N/A","GO:0004721;GO:0005515","phosphoprotein phosphatase activity;protein binding","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_202610","TGME49_202610-t26_1","protein phosphatase 2C domain-containing protein","protein coding gene","TGME49_002610","N/A","GO:0016021","integral component of membrane","GO:0003824;GO:0004721;GO:0004722","catalytic activity;phosphoprotein phosphatase activity;protein serine/threonine phosphatase activity","GO:0006470","protein dephosphorylation","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_202620","TGME49_202620-t26_1","hypothetical protein","protein coding gene","TGME49_002620","N/A","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_202750","TGME49_202750-t26_1","3' exoribonuclease family, domain 1 domain-containing protein","protein coding gene","TGME49_002750","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_202780","TGME49_202780-t26_1","rhoptry kinase family protein ROP25","protein coding gene","TGME49_002780","ROP25","GO:0016021","integral component of membrane","GO:0005524;GO:0004683;GO:0004672","ATP binding;calmodulin-dependent protein kinase activity;protein kinase activity","GO:0006468","protein phosphorylation","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_202850","TGME49_202850-t26_1","ATP-binding domain-containing protein","protein coding gene","TGME49_002850","N/A","N/A","N/A","GO:0005524","ATP binding","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_203010","TGME49_203010-t26_1","aurora kinase","protein coding gene","TGME49_003010","N/A","N/A","N/A","GO:0005524;GO:0004687;GO:0004672","ATP binding;myosin light chain kinase activity;protein kinase activity","GO:0006468","protein phosphorylation","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_203290","TGME49_203290-t26_1","hypothetical protein","protein coding gene","TGME49_003290","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_203310","TGME49_203310-t26_1","dense granule protein GRA7","protein coding gene","TGME49_003310","GRA7","GO:0005576;GO:0016021","extracellular region;integral component of membrane","N/A","N/A","N/A","N/A","GO:0045177;GO:0020003","apical part of cell;symbiont-containing vacuole","N/A","N/A","N/A","N/A"
"TGME49_203400","TGME49_203400-t26_1","hypothetical protein","protein coding gene","TGME49_003400","N/A","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_203450","TGME49_203450-t26_1","DUF3228 domain-containing protein","protein coding gene","TGME49_003450","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_203600","TGME49_203600-t26_1","hypothetical protein","protein coding gene","TGME49_003600","N/A","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
