ensembl_gene_id;source_id;description;gene_biotype;external_gene_name;co-expression_cluster
TGME49.202680;TGME49_202680-t26_1;peptidase M16, alpha subunit, putative;protein coding gene;N/A;1
TGME49.207080;TGME49_207080-t26_1;histone lysine acetyltransferase MYST-B;protein coding gene;MYSTB;10
TGME49.213800;TGME49_213800-t26_1;protein phosphatase 2b regulatory subunit, putative;protein coding gene;N/A;7
TGME49.200595;TGME49_200595-t26_1;hypothetical protein;protein coding gene;N/A;9
TGME49.201785;TGME49_201785-t26_1;hypothetical protein;protein coding gene;N/A;1
TGME49.205760;TGME49_205760-t26_1;membrane protein;protein coding gene;N/A;14
TGME49.207400;TGME49_207400-t26_1;hypothetical protein;protein coding gene;N/A;9
TGME49.207440;TGME49_207440-t26_1;ribosomal protein RPS4;protein coding gene;RPS4;1
TGME49.208450;TGME49_208450-t26_1;protease inhibitor PI2;protein coding gene;PI2;9
TGME49.211290;TGME49_211290-t26_1;rhoptry protein ROP15;protein coding gene;ROP15;1
TGME49.213610;TGME49_213610-t26_1;hypothetical protein;protein coding gene;N/A;1
TGME49.203310;TGME49_203310-t26_1;dense granule protein GRA7;protein coding gene;GRA7;9
TGME49.207020;TGME49_207020-t26_1;hypothetical protein;protein coding gene;N/A;4
TGME49.211040;TGME49_211040-t26_1;Sec61beta family protein;protein coding gene;N/A;1
TGME49.214545;TGME49_214545-t26_1;hypothetical protein;protein coding gene;N/A;4
TGME49.215960;TGME49_215960-t26_1;hypothetical protein;protein coding gene;N/A;1
TGME49.216270;TGME49_216270-t26_1;hypothetical protein;protein coding gene;N/A;11
TGME49.217182;TGME49_217182-t26_1;RNA-dependent RNA polymerase RDP;protein coding gene;N/A;1
TGME49.219810;TGME49_219810-t26_1;hypothetical protein;protein coding gene;N/A;9
TGME49.219840;TGME49_219840-t26_1;hypothetical protein;protein coding gene;N/A;1
TGME49.223845;TGME49_223845-t26_1;hypothetical protein;protein coding gene;N/A;12
TGME49.218290;TGME49_218290-t26_1;WD domain, G-beta repeat-containing protein;protein coding gene;N/A;12
TGME49.220190;TGME49_220190-t26_1;hypothetical protein;protein coding gene;N/A;2
TGME49.220950;TGME49_220950-t26_1;hypothetical protein;protein coding gene;N/A;9
TGME49.224170;TGME49_224170-t26_1;SAG-related sequence SRS60A;protein coding gene;SRS60A;4
TGME49.201780;TGME49_201780-t26_1;microneme protein MIC2;protein coding gene;MIC2;9
TGME49.202370;TGME49_202370-t26_1;T-complex protein 1, epsilon subunit (TCP-1-epsilon), putative;protein coding gene;N/A;1
TGME49.203500;TGME49_203500-t26_1;alanine dehydrogenase/pyridine nucleotide transhydrogenase domain-containing protein;protein coding gene;N/A;13
TGME49.207110;TGME49_207110-t26_1;hypothetical protein;protein coding gene;N/A;9
TGME49.227275;TGME49_227275-t26_1;hypothetical protein;protein coding gene;N/A;11
TGME49.228720;TGME49_228720-t26_1;hypothetical protein;protein coding gene;N/A;12
TGME49.231620;TGME49_231620-t26_1;hypothetical protein;protein coding gene;N/A;5
TGME49.233460;TGME49_233460-t26_1;SAG-related sequence SRS29B;protein coding gene;SAG1;9
TGME49.214850;TGME49_214850-t26_1;1-deoxy-D-xylulose 5-phosphate reductoisomerase, putative;protein coding gene;N/A;4
TGME49.219090;TGME49_219090-t26_1;hypothetical protein;protein coding gene;N/A;13
TGME49.220425;TGME49_220425-t26_1;tRNA-Arg;ncRNA gene;N/A;14
TGME49.224750;TGME49_224750-t26_1;SAG-related sequence SRS40F;protein coding gene;SRS40F;9
TGME49.225870;TGME49_225870-t26_1;hypothetical protein;protein coding gene;N/A;1
TGME49.227080;TGME49_227080-t26_1;hypothetical protein;protein coding gene;N/A;14
TGME49.227280;TGME49_227280-t26_1;dense granule protein GRA3;protein coding gene;GRA3;9
TGME49.227620;TGME49_227620-t26_1;dense granule protein GRA2;protein coding gene;GRA2;9
TGME49.228050;TGME49_228050-t26_1;hypothetical protein;protein coding gene;N/A;6
TGME49.234590;TGME49_234590-t26_1;hypothetical protein;protein coding gene;N/A;4
TGME49.235187;TGME49_235187-t26_1;hypothetical protein;protein coding gene;N/A;12
TGME49.236810;TGME49_236810-t26_1;tRNA-Leu;ncRNA gene;N/A;14
TGME49.214940;TGME49_214940-t26_1;MIC2-associated protein M2AP;protein coding gene;N/A;9
TGME49.215410;TGME49_215410-t26_1;DPCD family protein;protein coding gene;N/A;11
TGME49.217570;TGME49_217570-t26_1;ribosomal protein RPS27;protein coding gene;RPS27;1
TGME49.218450;TGME49_218450-t26_1;hypothetical protein;protein coding gene;N/A;8
TGME49.221430;TGME49_221430-t26_1;hypothetical protein;protein coding gene;N/A;14
TGME49.239880;TGME49_239880-t26_1;hypothetical protein;protein coding gene;N/A;4
TGME49.240060;TGME49_240060-t26_1;hypothetical protein;protein coding gene;N/A;9
TGME49.245670;TGME49_245670-t26_1;pyruvate dehydrogenase complex subunit PDH-E1Alpha;protein coding gene;PDHE1A;1
TGME49.246540;TGME49_246540-t26_1;cytochrome c1, heme protein;protein coding gene;N/A;1
TGME49.246670;TGME49_246670-t26_1;hypothetical protein;protein coding gene;N/A;14
TGME49.249980;TGME49_249980-t26_1;leucine rich repeat-containing protein;protein coding gene;N/A;12
TGME49.251930;TGME49_251930-t26_1;enoyl-acyl carrier reductase ENR;protein coding gene;ENR;1
TGME49.240200;TGME49_240200-t26_1;hypothetical protein;protein coding gene;N/A;2
TGME49.242320;TGME49_242320-t26_1;B-box zinc finger domain-containing protein;protein coding gene;N/A;12
TGME49.249720;TGME49_249720-t26_1;ATP synthase F0 subunit 9, putative;protein coding gene;N/A;1
TGME49.233480;TGME49_233480-t26_1;SAG-related sequence SRS29C;protein coding gene;SRS2;1
TGME49.239510;TGME49_239510-t26_1;hypothetical protein;protein coding gene;N/A;12
TGME49.253090;TGME49_253090-t26_1;DEAD/DEAH box helicase domain-containing protein;protein coding gene;N/A;9
TGME49.254760;TGME49_254760-t26_1;hypothetical protein;protein coding gene;N/A;5
TGME49.258660;TGME49_258660-t26_1;rhoptry protein ROP6;protein coding gene;ROP6;1
TGME49.258870;TGME49_258870-t26_1;hypothetical protein;protein coding gene;N/A;9
TGME49.260280;TGME49_260280-t26_1;hypothetical protein;protein coding gene;N/A;9
TGME49.261740;TGME49_261740-t26_1;hypothetical protein;protein coding gene;N/A;1
TGME49.262710;TGME49_262710-t26_1;Ctr copper transporter family protein;protein coding gene;N/A;1
TGME49.229330;TGME49_229330-t26_1;Cof family hydrolase subfamily protein;protein coding gene;N/A;14
TGME49.229480;TGME49_229480-t26_1;calcium binding protein precursor, putative;protein coding gene;N/A;1
TGME49.230170;TGME49_230170-t26_1;hypothetical protein;protein coding gene;N/A;7
TGME49.231630;TGME49_231630-t26_1;alveolin domain containing intermediate filament IMC4;protein coding gene;ALV4;1
TGME49.232955;TGME49_232955-t26_1;hypothetical protein;protein coding gene;N/A;10
TGME49.233200;TGME49_233200-t26_1;ubiquitin related modifier protein;protein coding gene;N/A;2
