source_id	description	gene_type	input_ID	external_gene_name	Computed_GO_Component_ID	Computed_GO_Component	Computed_GO_Function_ID	Computed_GO_Function	Computed_GO_Progess_ID	Computed_GO_Progress	Curated_GO_Component_ID	Curated_GO_Component	Curated_GO_Function_ID	Curated_GO_Function	Curated_GO_Process_ID	Curated_GO_Process	ensembl_gene_id	description_1	hyperlopet_allocation
TGME49_201520-t26_1	protein phosphatase 2C domain-containing protein	protein coding gene	TGME49_201520	N/A	N/A	N/A	GO:0003824;GO:0004721;GO:0004722	catalytic activity;phosphoprotein phosphatase activity;protein serine/threonine phosphatase activity	GO:0006470	protein dephosphorylation	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-201520	protein phosphatase 2C domain-containing protein	rhoptries 1
TGME49_201760-t26_1	hypothetical protein	protein coding gene	TGME49_201760	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-201760	hypothetical protein	apical 1
TGME49_201780-t26_1	microneme protein MIC2	protein coding gene	TGME49_201780	MIC2	N/A	N/A	GO:0005515	protein binding	N/A	N/A	GO:0045177;GO:0005886	apical part of cell;plasma membrane	N/A	N/A	N/A	N/A	TGME49-201780	microneme protein MIC2	micronemes
TGME49_201860-t26_1	hypothetical protein	protein coding gene	TGME49_201860	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-201860	hypothetical protein	dense granules
TGME49_202120-t26_1	hypothetical protein	protein coding gene	TGME49_202120	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-202120	hypothetical protein	nucleus - chromatin
TGME49_202200-t26_1	hypothetical protein	protein coding gene	TGME49_202200	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-202200	hypothetical protein	rhoptries 1
TGME49_202220-t26_1	hypothetical protein	protein coding gene	TGME49_202220	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-202220	hypothetical protein	nucleus - chromatin
TGME49_202390-t26_1	S15 sporozoite-expressed protein	protein coding gene	TGME49_202390	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-202390	S15 sporozoite-expressed protein	endomembrane vesicles
TGME49_202460-t26_1	diacylglycerol kinase accessory domain (presumed) domain-containing protein	protein coding gene	TGME49_202460	N/A	N/A	N/A	GO:0005524;GO:0003951;GO:0004143;GO:0016301	ATP binding;NAD+ kinase activity;diacylglycerol kinase activity;kinase activity	GO:0007205;GO:0007165	protein kinase C-activating G protein-coupled receptor signaling pathway;signal transduction	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-202460	diacylglycerol kinase accessory domain (presumed) domain-containing protein	PM - peripheral 2
TGME49_202550-t26_1	NLI interacting factor family phosphatase	protein coding gene	TGME49_202550	N/A	N/A	N/A	GO:0004721;GO:0005515	phosphoprotein phosphatase activity;protein binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-202550	NLI interacting factor family phosphatase	IMC
