ensembl_gene_id,Product.Description,Gene.Type,Input.ID,external_gene_name
TGME49-200330,hypothetical protein,protein coding gene,TGME49_000330,N/A
TGME49-200385,Myb family DNA-binding domain-containing protein,protein coding gene,TGME49_000380,N/A
TGME49-201170,hypothetical protein,protein coding gene,TGME49_001170,N/A
TGME49-201220,zinc finger protein,protein coding gene,TGME49_001220,N/A
TGME49-201230,kinesin motor domain-containing protein,protein coding gene,TGME49_001230,N/A
TGME49-201240,hypothetical protein,protein coding gene,TGME49_001240,N/A
TGME49-201390,hypothetical protein,protein coding gene,TGME49_001390,N/A
TGME49-201520,protein phosphatase 2C domain-containing protein,protein coding gene,TGME49_001520,N/A
TGME49-201630,protein phosphatase 2C domain-containing protein,protein coding gene,TGME49_001630,N/A
TGME49-201760,hypothetical protein,protein coding gene,TGME49_001760,N/A
TGME49-201850,WD domain, G-beta repeat-containing protein,protein coding gene,TGME49_001850,N/A
TGME49-201860,hypothetical protein,protein coding gene,TGME49_001860,N/A
TGME49-202020,DnAK-TPR,protein coding gene,TGME49_002020,N/A
TGME49-202040,hypothetical protein,protein coding gene,TGME49_002040,N/A
TGME49-202200,hypothetical protein,protein coding gene,TGME49_002200,N/A
TGME49-202220,hypothetical protein,protein coding gene,TGME49_002220,N/A
TGME49-202390,S15 sporozoite-expressed protein,protein coding gene,TGME49_002390,N/A
TGME49-202420,hypothetical protein,protein coding gene,TGME49_002420,N/A
TGME49-202430,hypothetical protein,protein coding gene,TGME49_002430,N/A
TGME49-202500,GAPM1a,protein coding gene,TGME49_002500,N/A
TGME49-202550,NLI interacting factor family phosphatase,protein coding gene,TGME49_002550,N/A
TGME49-202930,hypothetical protein,protein coding gene,TGME49_002930,N/A
TGME49-203010,aurora kinase,protein coding gene,TGME49_003010,N/A
TGME49-203250,hypothetical protein,protein coding gene,TGME49_003250,N/A
TGME49-203310,dense granule protein GRA7,protein coding gene,TGME49_003310,GRA7
TGME49-203390,CRAL/TRIO domain-containing protein,protein coding gene,TGME49_003390,N/A
TGME49-203500,alanine dehydrogenase/pyridine nucleotide transhydrogenase domain-containing protein,protein coding gene,TGME49_003500,N/A
TGME49-203790,hypothetical protein,protein coding gene,TGME49_003790,N/A
TGME49-203820,hypothetical protein,protein coding gene,TGME49_003820,N/A
TGME49-203930,hypothetical protein,protein coding gene,TGME49_003930,N/A
TGME49-203990,rhoptry protein ROP12,protein coding gene,TGME49_003990,ROP12
TGME49-204130,perforin-like protein PLP1,protein coding gene,TGME49_004130,PLP1
TGME49-204270,hypothetical protein,protein coding gene,TGME49_004270,N/A
TGME49-204320,hypothetical protein,protein coding gene,TGME49_004320,N/A
TGME49-204530,microneme protein MIC11,protein coding gene,TGME49_004530,MIC11
TGME49-204880,hypothetical protein,protein coding gene,TGME49_004880,N/A
TGME49-205210,hypothetical protein,protein coding gene,TGME49_005210,N/A
TGME49-205250,rhoptry protein ROP18,protein coding gene,TGME49_005250,ROP18
TGME49-205280,hypothetical protein,protein coding gene,TGME49_005280,N/A
TGME49-205330,hypothetical protein,protein coding gene,TGME49_005330,N/A
TGME49-205360,hypothetical protein,protein coding gene,TGME49_005360,N/A
TGME49-205370,hypothetical protein,protein coding gene,TGME49_005370,N/A
TGME49-205460,AN1 family Zinc finger domain-containing protein,protein coding gene,TGME49_005460,N/A
TGME49-205520,hypothetical protein,protein coding gene,TGME49_005520,N/A
TGME49-205670,SF-assemblin/beta giardin protein,protein coding gene,TGME49_005670,N/A
TGME49-205680,hypothetical protein,protein coding gene,TGME49_005680,N/A
TGME49-205690,hypothetical protein,protein coding gene,TGME49_005690,N/A
TGME49-205730,hypothetical protein,protein coding gene,TGME49_005730,N/A
TGME49-205750,histone deacetylase complex subunit Sin3,protein coding gene,TGME49_005750,SIN3
TGME49-206690,glideosome-associated protein with multiple-membrane spans GAPM2B,protein coding gene,TGME49_006690,GAPM2B
TGME49-206710,hypothetical protein,protein coding gene,TGME49_006710,N/A
TGME49-207240,hypothetical protein,protein coding gene,TGME49_007240,N/A
TGME49-207590,protein phosphatase 2C domain-containing protein,protein coding gene,TGME49_007590,N/A
TGME49-207600,tubulin/FtsZ family, GTPase domain-containing protein,protein coding gene,TGME49_007600,N/A
TGME49-207790,enkurin, putative,protein coding gene,TGME49_007790,N/A
TGME49-208370,myosin heavy chain, putative,protein coding gene,TGME49_008370,N/A
TGME49-208550,hypothetical protein,protein coding gene,TGME49_008550,N/A
TGME49-209000,HECT-domain (ubiquitin-transferase) domain-containing protein,protein coding gene,TGME49_009000,N/A
TGME49-209030,actin ACT1,protein coding gene,TGME49_009030,ACT1
TGME49-209050,Tyrosine kinase-like (TKL) protein,protein coding gene,TGME49_009050,N/A
TGME49-209170,hypothetical protein,protein coding gene,TGME49_009170,N/A
TGME49-209200,hypothetical protein,protein coding gene,TGME49_009200,N/A
TGME49-209250,hypothetical protein,protein coding gene,TGME49_009250,N/A
TGME49-209490,hypothetical protein,protein coding gene,TGME49_009490,N/A
TGME49-209600,hypothetical protein,protein coding gene,TGME49_009600,N/A
TGME49-209880,glutamic acid-rcih protein, putative,protein coding gene,TGME49_009880,N/A
TGME49-209985,cAMP-dependent protein kinase,protein coding gene,TGME49_009980,N/A
TGME49-210270,hypothetical protein,protein coding gene,TGME49_010270,N/A
TGME49-210280,PEK kinase,protein coding gene,TGME49_010280,N/A
TGME49-210370,hypothetical protein,protein coding gene,TGME49_010370,N/A
