"Gene ID","source_id","Product Description","Gene Type","Input ID","Gene Name or Symbol","Computed GO Component IDs","Computed GO Components","Computed GO Function IDs","Computed GO Functions","Computed GO Process IDs","Computed GO Processes","Curated GO Component IDs","Curated GO Components","Curated GO Function IDs","Curated GO Functions","Curated GO Process IDs","Curated GO Processes"
"TGME49_200010","TGME49_200010-t26_1","hypothetical protein","protein coding gene","TGME49_200010","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_200130","TGME49_200130-t26_1","Toxoplasma gondii family C protein","protein coding gene","TGME49_200130","N/A","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_200230","TGME49_200230-t26_1","microneme protein MIC17C","protein coding gene","TGME49_200230","MIC17C","GO:0005576","extracellular region","GO:0005515","protein binding","GO:0006508","proteolysis","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_200240","TGME49_200240-t26_1","microneme protein MIC17B","protein coding gene","TGME49_200240","MIC17B","GO:0005576","extracellular region","GO:0005515","protein binding","GO:0006508","proteolysis","GO:0020009","microneme","N/A","N/A","N/A","N/A"
"TGME49_200250","TGME49_200250-t26_1","microneme protein MIC17A","protein coding gene","TGME49_200250","MIC17A","GO:0005576","extracellular region","GO:0005515","protein binding","GO:0006508","proteolysis","GO:0020009","microneme","N/A","N/A","N/A","N/A"
"TGME49_200270","TGME49_200270-t26_1","PAN/Apple domain-containing protein","protein coding gene","TGME49_200270","N/A","GO:0005576","extracellular region","GO:0005515","protein binding","GO:0006508","proteolysis","GO:0020009","microneme","N/A","N/A","N/A","N/A"
"TGME49_200280","TGME49_200280-t26_1","WD domain, G-beta repeat-containing protein","protein coding gene","TGME49_200280","N/A","N/A","N/A","GO:0005515","protein binding","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_200290","TGME49_200290-t26_1","rhomboid protease ROM1","protein coding gene","TGME49_200290","ROM1","GO:0016021","integral component of membrane","GO:0004252","serine-type endopeptidase activity","GO:0006508","proteolysis","GO:0005794;GO:0045177;GO:0005783","Golgi apparatus;apical part of cell;endoplasmic reticulum","N/A","N/A","N/A","N/A"
"TGME49_200295","TGME49_200295-t26_1","hypothetical protein","protein coding gene","TGME49_200295","N/A","N/A","N/A","GO:0005515","protein binding","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_200300","TGME49_200300-t26_1","hypothetical protein","protein coding gene","TGME49_200300","N/A","N/A","N/A","GO:0005515","protein binding","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_200310","TGME49_200310-t26_1","hypothetical protein","protein coding gene","TGME49_200310","N/A","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
